Area,Country,Site
0.0,China,Ancient Building Complex in the Wudang Mountains
245.62,China,Ancient City of Ping Yao
52.0,China,Ancient Villages in Southern Anhui – Xidi and Hongcun
1433.66,China,Archaeological Ruins of Liangzhu City
4164.8599,China,Capital Cities and Tombs of the Ancient Koguryo Kingdom
512.0,China,Chengjiang Fossil Site
82151.0,China,China Danxia
11.922,China,Classical Gardens of Suzhou
16603.22,China,Cultural Landscape of Honghe Hani Rice Terraces
7167.89,China,Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er
20.41,China,Dazu Rock Carvings
40275.0,China,Fanjingshan
152.65,China,Fujian Tulou
20819.11,China,The Grand Canal
2151.55,China,The Great Wall
16.1678,China,Historic Centre of Macao
60.5,China,"Historic Ensemble of the Potala Palace, Lhasa"
825.0,China,Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”
60000.0,China,Huanglong Scenic and Historic Interest Area
79624.0,China,Hubei Shennongjia
84.96,China,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang
3434.9399,China,Imperial Tombs of the Ming and Qing Dynasties
72000.0,China,Jiuzhaigou Valley Scenic and Historic Interest Area
371.948,China,Kaiping Diaolou and Villages
316.2,China,"Kulangsu, a Historic International Settlement"
331.0,China,Longmen Grottoes
30200.0,China,Lushan National Park
244.0,China,Mausoleum of the First Qin Emperor
188643.0,China,Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China (Phase I)
23392.0,China,Mogao Caves
15400.0,China,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area"
16060.0,China,Mount Huangshan
0.0,China,Mount Qingcheng and the Dujiangyan Irrigation System
22950.0,China,Mount Sanqingshan National Park
25000.0,China,Mount Taishan
18415.0,China,Mount Wutai
107044.0,China,Mount Wuyi
611.2,China,"Mountain Resort and its Outlying Temples, Chengde"
145.6,China,Old Town of Lijiang
480.0,China,Peking Man Site at Zhoukoudian
3735632.0,China,Qinghai Hoh Xil
536.08,China,Quanzhou: Emporium of the World in Song-Yuan China
924500.0,China,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains"
42668.16,China,Silk Roads: the Routes Network of Chang''an-Tianshan Corridor
25131.27,China,Site of Xanadu
97125.0,China,South China Karst
297.0,China,"Summer Palace, an Imperial Garden in Beijing"
183.0,China,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu
215.0,China,Temple of Heaven: an Imperial Sacrificial Altar in Beijing
,China,Three Parallel Rivers of Yunnan Protected Areas
781.28,China,Tusi Sites
3322.88,China,West Lake Cultural Landscape of Hangzhou
26400.0,China,Wulingyuan Scenic and Historic Interest Area
606833.0,China,Xinjiang Tianshan
414.0,China,Yin Xu
348.75,China,Yungang Grottoes
6621.6,China,Zuojiang Huashan Rock Art Cultural Landscape
