Country,HDI,latitude,longitude,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Gender Development Index value,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Median age (years) 2015,Dependency Ration Young age (0-14) /(per 100 people ages 15-64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15-64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0-5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people)","Deaths due to Tuberculosis (per 100,000 people)","HIV prevalence, adult (% ages 15-49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Working poor at PPP$3.10 a day (%) 2004-2013,Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users (% 2010 -2015),Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Child labour  (% ages 5-14) 2009-2015,Inequality in education(%),Inequality in income (%),Mandatory paid maternity leave (days)
Norway,0.949,79.8486,22.6903,81.7,12.7,67614,0.993,12.8,12.7,59800,75314,39.6,96.1,94.6,61.2,0.6,1.3,80.5,39.1,27.3,24.9,1.8,1.8,,1,6,,2.0,2.6,44,69,,0.2,,23.9,42.8,8.3,62.2,64.9,2.1,77.0,4.1,10.1,5.5,5.3,,100.0,-0.8,5.4,3.3,0.918,,2.4,10.4,
Australia,0.939,-24.915,133.076,82.5,13.2,42822,0.978,13.4,13.0,34271,51386,30.5,91.4,91.5,58.6,1.2,1.6,89.4,37.5,28.2,22.7,1.8,1.9,,8,7,2.0,3.0,3.8,,,,0.2,0.2,24.9,32.7,6.3,60.7,64.7,2.6,69.5,6.3,13.5,9.8,,,83.0,32.2,8.0,4.3,0.921,,1.9,17.7,
Switzerland,0.939,46.8119,8.427,83.1,13.4,56364,0.974,13.3,13.5,46798,66116,28.9,96.1,97.4,62.7,0.7,1.2,73.9,42.3,22.0,26.9,1.4,1.5,,2,7,,3.4,3.9,,,,0.1,,25.0,40.5,7.7,65.7,68.7,3.2,73.9,4.3,7.0,7.3,9.1,,100.0,15.3,8.4,3.8,0.934,,5.7,15.7,98
Germany,0.926,51.1135,10.5197,81.1,13.2,45000,0.964,12.9,13.6,35878,54440,36.9,96.4,97.0,54.5,-0.2,0.1,75.3,46.2,19.6,32.2,1.4,1.4,,2,3,1.3,3.1,3.7,,,,0.4,,23.5,38.9,8.7,57.6,60.3,1.3,70.4,4.6,7.1,6.4,6.3,,100.0,9.6,7.0,3.7,0.905,,2.6,14.8,98
Denmark,0.925,56.2612,9.24882,80.4,12.7,44519,0.970,12.6,12.9,36857,52293,37.4,89.1,98.5,58.0,0.3,0.4,87.7,41.6,26.3,29.6,1.8,1.7,,4,10,,2.9,3.5,,,,0.4,,22.8,34.9,9.2,58.1,62.0,2.3,78.0,6.3,10.8,5.8,5.4,,100.0,11,7.0,3.8,0.894,,3.0,14.3,126
Singapore,0.925,1.35432,103.825,83.2,11.6,78162,0.985,11.1,12.1,60787,96001,23.9,75.5,81.9,58.2,2.7,2.0,100.0,40.0,21.4,16.1,1.3,1.2,,2,5,4.4,2.1,2.7,39,71,,1.0,,25.1,19.5,2.1,65.0,67.2,,70.6,3.3,7.3,18.9,8.7,,0.0,0.5,,3.0,0.943,,,,105
Netherlands,0.924,52.1079,5.5341,81.7,11.9,46326,0.946,11.6,12.2,30117,62773,36.4,86.2,90.3,57.5,0.5,0.4,90.5,42.7,25.3,27.9,1.7,1.8,,2,4,,3.2,3.8,,,,0.1,,23.8,28.6,9.5,59.9,63.8,2.0,75.3,6.1,8.8,5.0,12.8,,100.0,7,6.8,3.7,0.914,,4.2,12.4,112
Ireland,0.923,53.4161,-7.95881,81.1,12.3,43798,0.976,12.5,11.9,33497,54135,19.9,86.8,82.2,52.4,1.8,0.3,63.2,36.9,33.5,20.2,2.0,2.0,,2,7,,3.0,3.6,,,,0.4,,23.4,26.7,5.1,54.3,60.0,6.1,75.2,9.5,20.9,15.2,12.7,,90.5,-1.5,7.7,3.7,0.905,,3.0,16.3,182
Iceland,0.921,64.9725,-18.4673,82.7,12.2,37065,0.965,12.2,12.6,30530,43576,41.3,100.0,97.2,70.7,1.1,0.7,94.1,36.0,30.8,20.8,2.0,2.0,,4,10,,1.6,2.0,39,67,,0.3,,24.5,34.8,7.2,70.8,74.1,4.2,77.1,4.4,8.7,5.8,8.5,,100.0,6.3,5.7,2.9,0.937,,2.5,11.7,90
Canada,0.920,56.8373,-110.436,82.2,13.1,42582,0.983,13.3,12.9,33288,52026,28.3,100.0,100.0,61.0,1.0,1.0,81.8,40.6,23.5,23.8,1.5,1.6,,2,5,,4.3,4.9,,,,0.2,,24.7,20.7,7.4,61.0,65.6,2.1,78.2,6.9,13.2,13.3,,,97.7,8.3,8.7,4.7,0.912,,3.9,17.4,105
United States,0.920,37.2472,-99.6968,79.2,13.2,53245,0.993,13.2,13.2,42272,64410,19.5,95.4,95.1,56.0,0.9,0.8,81.6,38.0,28.6,22.3,2.0,1.9,,2,9,2.1,5.6,6.5,78,131,,0.1,,23.3,24.5,8.3,58.8,62.1,1.6,81.2,5.3,11.8,16.5,,,92.5,28.8,12.9,6.1,0.856,,5.6,27.0,
Hong Kong,0.917,22.4112,114.057,84.2,11.6,54265,0.964,11.5,12.4,39525,70921,,80.9,74.7,53.4,0.2,0.8,100.0,43.2,16.4,20.6,1.0,1.2,,,,,,,32,64,,2.5,,25.8,,,58.3,60.3,,79.9,3.3,9.5,6.6,6.9,,72.9,16.9,,2.8,0.959,,,,70
New Zealand,0.915,-43.5877,171.243,82.0,12.5,32870,0.963,12.6,12.5,24413,41718,31.4,98.8,98.7,62.4,1.4,0.7,86.3,38.0,31.1,22.9,1.9,2.1,,7,7,,4.7,5.7,52,81,,0.1,,24.5,27.4,9.1,63.6,67.6,6.4,73.0,5.9,14.4,11.9,,,98.0,13,,4.6,0.910,,,,112
Sweden,0.913,62.1827,14.9052,82.3,12.3,46251,0.997,12.4,12.2,40328,52181,43.6,87.8,88.3,60.9,0.4,0.8,85.8,41.0,27.5,31.8,1.7,1.9,,1,3,,2.4,3.0,43,66,,0.3,,24.3,39.3,10.0,59.8,64.5,1.7,79.0,7.4,20.8,7.2,6.7,,100.0,11.3,6.6,3.3,0.928,,3.4,13.1,
