SO2,variable,value,low,high,mid,count
"(0.00833,0.0997]",SPARCS,18.3793103448276,0.00833,0.0997,0.054015,0
"(0.0997,0.148]",SPARCS,17.6271186440678,0.0997,0.148,0.12385,0
"(0.148,0.218]",SPARCS,15,0.148,0.218,0.183,0
"(0.218,0.276]",SPARCS,14.7894736842105,0.218,0.276,0.247,0
"(0.276,0.335]",SPARCS,15.0344827586207,0.276,0.335,0.3055,0
"(0.335,0.439]",SPARCS,13.135593220339,0.335,0.439,0.387,0
"(0.439,0.535]",SPARCS,13.4545454545455,0.439,0.535,0.487,0
"(0.535,0.623]",SPARCS,13.8983050847458,0.535,0.623,0.579,0
"(0.623,0.735]",SPARCS,17.8103448275862,0.623,0.735,0.679,0
"(0.735,0.842]",SPARCS,16.9107142857143,0.735,0.842,0.7885,0
"(0.842,0.964]",SPARCS,20.3508771929825,0.842,0.964,0.903,0
"(0.964,1.07]",SPARCS,23.3103448275862,0.964,1.07,1.017,0
"(1.07,1.2]",SPARCS,21.5084745762712,1.07,1.2,1.135,0
"(1.2,1.31]",SPARCS,19.25,1.2,1.31,1.255,0
"(1.31,1.45]",SPARCS,21.8363636363636,1.31,1.45,1.38,0
"(1.45,1.56]",SPARCS,19.3103448275862,1.45,1.56,1.505,0
"(1.56,1.7]",SPARCS,20.5263157894737,1.56,1.7,1.63,0
"(1.7,1.82]",SPARCS,20.3508771929825,1.7,1.82,1.76,0
"(1.82,1.92]",SPARCS,19.8727272727273,1.82,1.92,1.87,0
"(1.92,2.05]",SPARCS,20.5,1.92,2.05,1.985,0
"(2.05,2.16]",SPARCS,20.7234042553192,2.05,2.16,2.105,0
"(2.16,2.27]",SPARCS,18.1818181818182,2.16,2.27,2.215,0
"(2.27,2.39]",SPARCS,16.4042553191489,2.27,2.39,2.33,0
"(2.39,2.54]",SPARCS,19.8222222222222,2.39,2.54,2.465,0
"(2.54,2.67]",SPARCS,21.3191489361702,2.54,2.67,2.605,0
"(2.67,2.81]",SPARCS,17.5853658536585,2.67,2.81,2.74,0
"(2.81,2.94]",SPARCS,17.6511627906977,2.81,2.94,2.875,0
"(2.94,3.11]",SPARCS,18.7272727272727,2.94,3.11,3.025,0
"(3.11,3.29]",SPARCS,19.0769230769231,3.11,3.29,3.2,0
"(3.29,3.42]",SPARCS,15.75,3.29,3.42,3.355,0
"(3.42,3.63]",SPARCS,22.1081081081081,3.42,3.63,3.525,0
"(3.63,3.8]",SPARCS,19.5,3.63,3.8,3.715,0
"(3.8,4.03]",SPARCS,14.375,3.8,4.03,3.915,0
"(4.03,4.28]",SPARCS,18.5172413793103,4.03,4.28,4.155,0
"(4.28,4.52]",SPARCS,17.5714285714286,4.28,4.52,4.4,0
"(4.52,4.77]",SPARCS,17.3928571428571,4.52,4.77,4.645,0
"(4.77,5.02]",SPARCS,16.7307692307692,4.77,5.02,4.895,0
"(5.02,5.35]",SPARCS,15.0344827586207,5.02,5.35,5.185,0
"(5.35,5.6]",SPARCS,14.962962962963,5.35,5.6,5.475,0
"(5.6,5.94]",SPARCS,15.8928571428571,5.6,5.94,5.77,0
"(5.94,6.23]",SPARCS,15.6666666666667,5.94,6.23,6.085,0
"(6.23,6.56]",SPARCS,19,6.23,6.56,6.395,0
"(6.56,6.95]",SPARCS,20.9130434782609,6.56,6.95,6.755,0
"(6.95,7.42]",SPARCS,13.8333333333333,6.95,7.42,7.185,0
"(7.42,7.8]",SPARCS,18.5,7.42,7.8,7.61,0
"(7.8,8.28]",SPARCS,16.2380952380952,7.8,8.28,8.04,0
"(8.28,9]",SPARCS,13.4736842105263,8.28,9,8.64,0
"(9,10.1]",SPARCS,17.5714285714286,9,10.1,9.55,0
"(10.1,11.8]",SPARCS,12.0714285714286,10.1,11.8,10.95,0
"(11.8,49.5]",SPARCS,20.6666666666667,11.8,49.5,30.65,0
