variable,mid,low,high,value,count
SPARCS,0.054015,0.00833,0.0997,5,1
SPARCS,0.054015,0.00833,0.0997,6,2
SPARCS,0.054015,0.00833,0.0997,7,5
SPARCS,0.054015,0.00833,0.0997,8,1
SPARCS,0.054015,0.00833,0.0997,11,3
SPARCS,0.054015,0.00833,0.0997,13,2
SPARCS,0.054015,0.00833,0.0997,14,1
SPARCS,0.054015,0.00833,0.0997,15,2
SPARCS,0.054015,0.00833,0.0997,16,4
SPARCS,0.054015,0.00833,0.0997,17,3
SPARCS,0.054015,0.00833,0.0997,18,3
SPARCS,0.054015,0.00833,0.0997,19,4
SPARCS,0.054015,0.00833,0.0997,20,2
SPARCS,0.054015,0.00833,0.0997,21,3
SPARCS,0.054015,0.00833,0.0997,22,3
SPARCS,0.054015,0.00833,0.0997,23,5
SPARCS,0.054015,0.00833,0.0997,24,5
SPARCS,0.054015,0.00833,0.0997,25,1
SPARCS,0.054015,0.00833,0.0997,26,3
SPARCS,0.054015,0.00833,0.0997,27,1
SPARCS,0.054015,0.00833,0.0997,29,1
SPARCS,0.054015,0.00833,0.0997,31,2
SPARCS,0.054015,0.00833,0.0997,33,1
SPARCS,0.12385,0.0997,0.148,3,1
SPARCS,0.12385,0.0997,0.148,4,2
SPARCS,0.12385,0.0997,0.148,5,4
SPARCS,0.12385,0.0997,0.148,6,5
SPARCS,0.12385,0.0997,0.148,7,2
SPARCS,0.12385,0.0997,0.148,8,1
SPARCS,0.12385,0.0997,0.148,9,2
SPARCS,0.12385,0.0997,0.148,14,2
SPARCS,0.12385,0.0997,0.148,15,2
SPARCS,0.12385,0.0997,0.148,16,2
SPARCS,0.12385,0.0997,0.148,17,1
SPARCS,0.12385,0.0997,0.148,18,2
SPARCS,0.12385,0.0997,0.148,19,4
SPARCS,0.12385,0.0997,0.148,20,4
SPARCS,0.12385,0.0997,0.148,21,4
SPARCS,0.12385,0.0997,0.148,22,5
SPARCS,0.12385,0.0997,0.148,23,3
SPARCS,0.12385,0.0997,0.148,24,3
SPARCS,0.12385,0.0997,0.148,25,1
SPARCS,0.12385,0.0997,0.148,26,2
SPARCS,0.12385,0.0997,0.148,28,3
SPARCS,0.12385,0.0997,0.148,29,1
SPARCS,0.12385,0.0997,0.148,31,1
SPARCS,0.12385,0.0997,0.148,34,1
SPARCS,0.12385,0.0997,0.148,50,1
SPARCS,0.183,0.148,0.218,1,1
SPARCS,0.183,0.148,0.218,3,4
SPARCS,0.183,0.148,0.218,4,3
SPARCS,0.183,0.148,0.218,5,2
SPARCS,0.183,0.148,0.218,6,6
SPARCS,0.183,0.148,0.218,7,6
SPARCS,0.183,0.148,0.218,8,3
SPARCS,0.183,0.148,0.218,11,1
SPARCS,0.183,0.148,0.218,14,2
SPARCS,0.183,0.148,0.218,15,2
SPARCS,0.183,0.148,0.218,16,1
SPARCS,0.183,0.148,0.218,17,4
SPARCS,0.183,0.148,0.218,18,2
SPARCS,0.183,0.148,0.218,19,1
SPARCS,0.183,0.148,0.218,21,3
SPARCS,0.183,0.148,0.218,22,3
