SO2,variable,value,low,high,mid,count
"(0.00833,0.0997]",SPARCS,43.4655172413793,0.00833,0.0997,0.054015,0
"(0.0997,0.148]",SPARCS,41.1186440677966,0.0997,0.148,0.12385,0
"(0.148,0.218]",SPARCS,34.5084745762712,0.148,0.218,0.183,0
"(0.218,0.276]",SPARCS,36.7719298245614,0.218,0.276,0.247,0
"(0.276,0.335]",SPARCS,36.9655172413793,0.276,0.335,0.3055,0
"(0.335,0.439]",SPARCS,33.8813559322034,0.335,0.439,0.387,0
"(0.439,0.535]",SPARCS,39.9272727272727,0.439,0.535,0.487,0
"(0.535,0.623]",SPARCS,37.271186440678,0.535,0.623,0.579,0
"(0.623,0.735]",SPARCS,46.1551724137931,0.623,0.735,0.679,0
"(0.735,0.842]",SPARCS,44,0.735,0.842,0.7885,0
"(0.842,0.964]",SPARCS,51.3333333333333,0.842,0.964,0.903,0
"(0.964,1.07]",SPARCS,59.6206896551724,0.964,1.07,1.017,0
"(1.07,1.2]",SPARCS,62.5254237288136,1.07,1.2,1.135,0
"(1.2,1.31]",SPARCS,52.7857142857143,1.2,1.31,1.255,0
"(1.31,1.45]",SPARCS,64.3636363636364,1.31,1.45,1.38,0
"(1.45,1.56]",SPARCS,52.8275862068966,1.45,1.56,1.505,0
"(1.56,1.7]",SPARCS,60.5263157894737,1.56,1.7,1.63,0
"(1.7,1.82]",SPARCS,57.6315789473684,1.7,1.82,1.76,0
"(1.82,1.92]",SPARCS,59.2181818181818,1.82,1.92,1.87,0
"(1.92,2.05]",SPARCS,57.0555555555556,1.92,2.05,1.985,0
"(2.05,2.16]",SPARCS,63.468085106383,2.05,2.16,2.105,0
"(2.16,2.27]",SPARCS,54.8363636363636,2.16,2.27,2.215,0
"(2.27,2.39]",SPARCS,50.6170212765958,2.27,2.39,2.33,0
"(2.39,2.54]",SPARCS,61.6,2.39,2.54,2.465,0
"(2.54,2.67]",SPARCS,70.8936170212766,2.54,2.67,2.605,0
"(2.67,2.81]",SPARCS,58.1219512195122,2.67,2.81,2.74,0
"(2.81,2.94]",SPARCS,58.2325581395349,2.81,2.94,2.875,0
"(2.94,3.11]",SPARCS,59.3863636363636,2.94,3.11,3.025,0
"(3.11,3.29]",SPARCS,59.0512820512821,3.11,3.29,3.2,0
"(3.29,3.42]",SPARCS,55.3863636363636,3.29,3.42,3.355,0
"(3.42,3.63]",SPARCS,71.6216216216216,3.42,3.63,3.525,0
"(3.63,3.8]",SPARCS,60.84375,3.63,3.8,3.715,0
"(3.8,4.03]",SPARCS,54,3.8,4.03,3.915,0
"(4.03,4.28]",SPARCS,81.0344827586207,4.03,4.28,4.155,0
"(4.28,4.52]",SPARCS,68.9714285714286,4.28,4.52,4.4,0
"(4.52,4.77]",SPARCS,65.2857142857143,4.52,4.77,4.645,0
"(4.77,5.02]",SPARCS,64.5769230769231,4.77,5.02,4.895,0
"(5.02,5.35]",SPARCS,59.3448275862069,5.02,5.35,5.185,0
"(5.35,5.6]",SPARCS,59.7407407407408,5.35,5.6,5.475,0
"(5.6,5.94]",SPARCS,60.75,5.6,5.94,5.77,0
"(5.94,6.23]",SPARCS,53.0833333333333,5.94,6.23,6.085,0
"(6.23,6.56]",SPARCS,76.25,6.23,6.56,6.395,0
"(6.56,6.95]",SPARCS,77.1304347826087,6.56,6.95,6.755,0
"(6.95,7.42]",SPARCS,67.6666666666667,6.95,7.42,7.185,0
"(7.42,7.8]",SPARCS,68.4375,7.42,7.8,7.61,0
"(7.8,8.28]",SPARCS,70.7142857142857,7.8,8.28,8.04,0
"(8.28,9]",SPARCS,50.1052631578947,8.28,9,8.64,0
"(9,10.1]",SPARCS,61.4285714285714,9,10.1,9.55,0
"(10.1,11.8]",SPARCS,52.1428571428572,10.1,11.8,10.95,0
"(11.8,49.5]",SPARCS,92.6666666666667,11.8,49.5,30.65,0
