variable,mid,low,high,value,count
SPARCS,0.054015,0.00833,0.0997,14,1
SPARCS,0.054015,0.00833,0.0997,16,1
SPARCS,0.054015,0.00833,0.0997,18,2
SPARCS,0.054015,0.00833,0.0997,19,1
SPARCS,0.054015,0.00833,0.0997,20,1
SPARCS,0.054015,0.00833,0.0997,21,2
SPARCS,0.054015,0.00833,0.0997,25,1
SPARCS,0.054015,0.00833,0.0997,26,2
SPARCS,0.054015,0.00833,0.0997,30,1
SPARCS,0.054015,0.00833,0.0997,34,1
SPARCS,0.054015,0.00833,0.0997,36,1
SPARCS,0.054015,0.00833,0.0997,37,2
SPARCS,0.054015,0.00833,0.0997,38,1
SPARCS,0.054015,0.00833,0.0997,39,2
SPARCS,0.054015,0.00833,0.0997,42,1
SPARCS,0.054015,0.00833,0.0997,43,2
SPARCS,0.054015,0.00833,0.0997,44,2
SPARCS,0.054015,0.00833,0.0997,45,3
SPARCS,0.054015,0.00833,0.0997,46,1
SPARCS,0.054015,0.00833,0.0997,47,3
SPARCS,0.054015,0.00833,0.0997,48,4
SPARCS,0.054015,0.00833,0.0997,49,1
SPARCS,0.054015,0.00833,0.0997,50,2
SPARCS,0.054015,0.00833,0.0997,51,3
SPARCS,0.054015,0.00833,0.0997,52,2
SPARCS,0.054015,0.00833,0.0997,53,4
SPARCS,0.054015,0.00833,0.0997,54,1
SPARCS,0.054015,0.00833,0.0997,55,2
SPARCS,0.054015,0.00833,0.0997,56,1
SPARCS,0.054015,0.00833,0.0997,58,1
SPARCS,0.054015,0.00833,0.0997,59,1
SPARCS,0.054015,0.00833,0.0997,61,1
SPARCS,0.054015,0.00833,0.0997,62,1
SPARCS,0.054015,0.00833,0.0997,63,2
SPARCS,0.054015,0.00833,0.0997,73,1
SPARCS,0.12385,0.0997,0.148,7,1
SPARCS,0.12385,0.0997,0.148,11,1
SPARCS,0.12385,0.0997,0.148,14,1
SPARCS,0.12385,0.0997,0.148,16,3
SPARCS,0.12385,0.0997,0.148,17,1
SPARCS,0.12385,0.0997,0.148,18,2
SPARCS,0.12385,0.0997,0.148,19,1
SPARCS,0.12385,0.0997,0.148,21,2
SPARCS,0.12385,0.0997,0.148,23,1
SPARCS,0.12385,0.0997,0.148,25,3
SPARCS,0.12385,0.0997,0.148,26,1
SPARCS,0.12385,0.0997,0.148,29,1
SPARCS,0.12385,0.0997,0.148,33,1
SPARCS,0.12385,0.0997,0.148,35,2
SPARCS,0.12385,0.0997,0.148,40,2
SPARCS,0.12385,0.0997,0.148,41,1
SPARCS,0.12385,0.0997,0.148,43,1
SPARCS,0.12385,0.0997,0.148,44,3
SPARCS,0.12385,0.0997,0.148,47,2
SPARCS,0.12385,0.0997,0.148,48,3
SPARCS,0.12385,0.0997,0.148,49,6
SPARCS,0.12385,0.0997,0.148,50,2
SPARCS,0.12385,0.0997,0.148,51,2
SPARCS,0.12385,0.0997,0.148,52,5
SPARCS,0.12385,0.0997,0.148,53,1
SPARCS,0.12385,0.0997,0.148,55,1
SPARCS,0.12385,0.0997,0.148,56,1
SPARCS,0.12385,0.0997,0.148,57,1
SPARCS,0.12385,0.0997,0.148,59,1
SPARCS,0.12385,0.0997,0.148,61,1
SPARCS,0.12385,0.0997,0.148,63,2
SPARCS,0.12385,0.0997,0.148,64,1
SPARCS,0.12385,0.0997,0.148,68,1
SPARCS,0.12385,0.0997,0.148,87,1
SPARCS,0.183,0.148,0.218,1,1
SPARCS,0.183,0.148,0.218,6,1
SPARCS,0.183,0.148,0.218,9,1
SPARCS,0.183,0.148,0.218,11,1
SPARCS,0.183,0.148,0.218,12,3
SPARCS,0.183,0.148,0.218,13,1
SPARCS,0.183,0.148,0.218,14,1
SPARCS,0.183,0.148,0.218,15,1
SPARCS,0.183,0.148,0.218,16,3
SPARCS,0.183,0.148,0.218,17,2
SPARCS,0.183,0.148,0.218,18,2
SPARCS,0.183,0.148,0.218,20,5
SPARCS,0.183,0.148,0.218,21,2
SPARCS,0.183,0.148,0.218,23,1
SPARCS,0.183,0.148,0.218,24,2
SPARCS,0.183,0.148,0.218,28,1
SPARCS,0.183,0.148,0.218,36,1
SPARCS,0.183,0.148,0.218,39,1
SPARCS,0.183,0.148,0.218,41,2
SPARCS,0.183,0.148,0.218,42,1
SPARCS,0.183,0.148,0.218,43,2
SPARCS,0.183,0.148,0.218,44,4
SPARCS,0.183,0.148,0.218,45,2
SPARCS,0.183,0.148,0.218,47,1
SPARCS,0.183,0.148,0.218,48,1
SPARCS,0.183,0.148,0.218,50,1
SPARCS,0.183,0.148,0.218,51,1
SPARCS,0.183,0.148,0.218,53,2
SPARCS,0.183,0.148,0.218,54,1
SPARCS,0.183,0.148,0.218,55,1
SPARCS,0.183,0.148,0.218,56,2
SPARCS,0.183,0.148,0.218,57,1
SPARCS,0.183,0.148,0.218,58,1
SPARCS,0.183,0.148,0.218,60,3
SPARCS,0.183,0.148,0.218,62,1
SPARCS,0.183,0.148,0.218,68,1
SPARCS,0.183,0.148,0.218,73,1
SPARCS,0.247,0.218,0.276,11,1
SPARCS,0.247,0.218,0.276,12,2
SPARCS,0.247,0.218,0.276,14,2
SPARCS,0.247,0.218,0.276,15,1
SPARCS,0.247,0.218,0.276,16,2
SPARCS,0.247,0.218,0.276,17,2
SPARCS,0.247,0.218,0.276,18,1
SPARCS,0.247,0.218,0.276,20,3
SPARCS,0.247,0.218,0.276,21,2
SPARCS,0.247,0.218,0.276,22,3
SPARCS,0.247,0.218,0.276,23,3
SPARCS,0.247,0.218,0.276,24,1
SPARCS,0.247,0.218,0.276,28,1
SPARCS,0.247,0.218,0.276,33,1
SPARCS,0.247,0.218,0.276,38,1
SPARCS,0.247,0.218,0.276,39,2
SPARCS,0.247,0.218,0.276,40,2
SPARCS,0.247,0.218,0.276,41,1
SPARCS,0.247,0.218,0.276,43,5
SPARCS,0.247,0.218,0.276,46,1
SPARCS,0.247,0.218,0.276,47,3
SPARCS,0.247,0.218,0.276,51,2
SPARCS,0.247,0.218,0.276,52,2
SPARCS,0.247,0.218,0.276,53,2
SPARCS,0.247,0.218,0.276,54,1
SPARCS,0.247,0.218,0.276,55,2
SPARCS,0.247,0.218,0.276,56,2
SPARCS,0.247,0.218,0.276,60,3
SPARCS,0.247,0.218,0.276,62,1
SPARCS,0.247,0.218,0.276,67,1
SPARCS,0.247,0.218,0.276,76,1
SPARCS,0.247,0.218,0.276,,0
SPARCS,0.3055,0.276,0.335,0,1
SPARCS,0.3055,0.276,0.335,14,1
SPARCS,0.3055,0.276,0.335,15,2
SPARCS,0.3055,0.276,0.335,16,2
SPARCS,0.3055,0.276,0.335,17,3
SPARCS,0.3055,0.276,0.335,18,3
SPARCS,0.3055,0.276,0.335,19,6
SPARCS,0.3055,0.276,0.335,21,1
SPARCS,0.3055,0.276,0.335,22,3
SPARCS,0.3055,0.276,0.335,23,1
SPARCS,0.3055,0.276,0.335,24,1
SPARCS,0.3055,0.276,0.335,29,2
SPARCS,0.3055,0.276,0.335,36,2
SPARCS,0.3055,0.276,0.335,42,1
SPARCS,0.3055,0.276,0.335,43,1
SPARCS,0.3055,0.276,0.335,44,1
SPARCS,0.3055,0.276,0.335,45,3
SPARCS,0.3055,0.276,0.335,46,3
SPARCS,0.3055,0.276,0.335,47,4
SPARCS,0.3055,0.276,0.335,48,3
SPARCS,0.3055,0.276,0.335,53,1
SPARCS,0.3055,0.276,0.335,55,5
SPARCS,0.3055,0.276,0.335,56,1
SPARCS,0.3055,0.276,0.335,57,1
SPARCS,0.3055,0.276,0.335,58,1
SPARCS,0.3055,0.276,0.335,64,1
SPARCS,0.3055,0.276,0.335,66,1
SPARCS,0.3055,0.276,0.335,68,1
SPARCS,0.3055,0.276,0.335,70,1
SPARCS,0.3055,0.276,0.335,84,1
SPARCS,0.3055,0.276,0.335,,0
SPARCS,0.387,0.335,0.439,0,1
SPARCS,0.387,0.335,0.439,2,2
SPARCS,0.387,0.335,0.439,8,1
SPARCS,0.387,0.335,0.439,11,1
SPARCS,0.387,0.335,0.439,12,1
SPARCS,0.387,0.335,0.439,14,2
SPARCS,0.387,0.335,0.439,15,2
SPARCS,0.387,0.335,0.439,16,3
SPARCS,0.387,0.335,0.439,17,2
SPARCS,0.387,0.335,0.439,18,6
SPARCS,0.387,0.335,0.439,19,2
SPARCS,0.387,0.335,0.439,21,1
SPARCS,0.387,0.335,0.439,22,1
SPARCS,0.387,0.335,0.439,23,3
SPARCS,0.387,0.335,0.439,24,3
SPARCS,0.387,0.335,0.439,25,1
SPARCS,0.387,0.335,0.439,26,2
SPARCS,0.387,0.335,0.439,29,1
SPARCS,0.387,0.335,0.439,30,1
SPARCS,0.387,0.335,0.439,31,1
SPARCS,0.387,0.335,0.439,38,1
SPARCS,0.387,0.335,0.439,39,1
SPARCS,0.387,0.335,0.439,40,1
SPARCS,0.387,0.335,0.439,45,1
SPARCS,0.387,0.335,0.439,46,1
SPARCS,0.387,0.335,0.439,47,2
SPARCS,0.387,0.335,0.439,48,1
SPARCS,0.387,0.335,0.439,50,1
SPARCS,0.387,0.335,0.439,54,1
SPARCS,0.387,0.335,0.439,55,1
SPARCS,0.387,0.335,0.439,56,1
SPARCS,0.387,0.335,0.439,60,2
SPARCS,0.387,0.335,0.439,61,1
SPARCS,0.387,0.335,0.439,65,1
SPARCS,0.387,0.335,0.439,66,1
SPARCS,0.387,0.335,0.439,67,1
SPARCS,0.387,0.335,0.439,68,1
SPARCS,0.387,0.335,0.439,82,1
SPARCS,0.387,0.335,0.439,86,1
SPARCS,0.387,0.335,0.439,147,1
SPARCS,0.487,0.439,0.535,2,2
SPARCS,0.487,0.439,0.535,10,2
SPARCS,0.487,0.439,0.535,11,1
SPARCS,0.487,0.439,0.535,13,4
SPARCS,0.487,0.439,0.535,16,1
SPARCS,0.487,0.439,0.535,17,2
SPARCS,0.487,0.439,0.535,18,3
SPARCS,0.487,0.439,0.535,19,3
SPARCS,0.487,0.439,0.535,21,2
SPARCS,0.487,0.439,0.535,22,3
SPARCS,0.487,0.439,0.535,23,4
SPARCS,0.487,0.439,0.535,25,1
SPARCS,0.487,0.439,0.535,26,2
SPARCS,0.487,0.439,0.535,27,1
SPARCS,0.487,0.439,0.535,29,1
SPARCS,0.487,0.439,0.535,34,1
SPARCS,0.487,0.439,0.535,35,1
SPARCS,0.487,0.439,0.535,40,1
SPARCS,0.487,0.439,0.535,46,1
SPARCS,0.487,0.439,0.535,49,1
SPARCS,0.487,0.439,0.535,50,1
SPARCS,0.487,0.439,0.535,52,3
SPARCS,0.487,0.439,0.535,55,1
SPARCS,0.487,0.439,0.535,56,1
SPARCS,0.487,0.439,0.535,57,1
SPARCS,0.487,0.439,0.535,58,1
SPARCS,0.487,0.439,0.535,60,1
SPARCS,0.487,0.439,0.535,62,1
SPARCS,0.487,0.439,0.535,68,2
SPARCS,0.487,0.439,0.535,85,1
SPARCS,0.487,0.439,0.535,95,1
SPARCS,0.487,0.439,0.535,113,1
SPARCS,0.487,0.439,0.535,116,1
SPARCS,0.487,0.439,0.535,125,1
SPARCS,0.487,0.439,0.535,187,1
SPARCS,0.487,0.439,0.535,,0
SPARCS,0.579,0.535,0.623,9,1
SPARCS,0.579,0.535,0.623,11,1
SPARCS,0.579,0.535,0.623,13,1
SPARCS,0.579,0.535,0.623,14,3
SPARCS,0.579,0.535,0.623,15,2
SPARCS,0.579,0.535,0.623,16,2
SPARCS,0.579,0.535,0.623,17,4
SPARCS,0.579,0.535,0.623,19,3
SPARCS,0.579,0.535,0.623,20,3
SPARCS,0.579,0.535,0.623,21,5
SPARCS,0.579,0.535,0.623,22,3
SPARCS,0.579,0.535,0.623,23,2
SPARCS,0.579,0.535,0.623,26,1
SPARCS,0.579,0.535,0.623,27,1
SPARCS,0.579,0.535,0.623,29,1
SPARCS,0.579,0.535,0.623,32,1
SPARCS,0.579,0.535,0.623,33,1
SPARCS,0.579,0.535,0.623,36,1
SPARCS,0.579,0.535,0.623,37,2
SPARCS,0.579,0.535,0.623,38,1
SPARCS,0.579,0.535,0.623,43,2
SPARCS,0.579,0.535,0.623,44,1
SPARCS,0.579,0.535,0.623,45,1
SPARCS,0.579,0.535,0.623,47,1
SPARCS,0.579,0.535,0.623,48,1
SPARCS,0.579,0.535,0.623,51,1
SPARCS,0.579,0.535,0.623,52,1
SPARCS,0.579,0.535,0.623,53,2
SPARCS,0.579,0.535,0.623,55,1
SPARCS,0.579,0.535,0.623,68,1
SPARCS,0.579,0.535,0.623,69,1
SPARCS,0.579,0.535,0.623,70,1
SPARCS,0.579,0.535,0.623,72,1
SPARCS,0.579,0.535,0.623,76,1
SPARCS,0.579,0.535,0.623,95,1
SPARCS,0.579,0.535,0.623,109,1
SPARCS,0.579,0.535,0.623,132,1
SPARCS,0.579,0.535,0.623,140,1
SPARCS,0.679,0.623,0.735,11,1
SPARCS,0.679,0.623,0.735,14,1
SPARCS,0.679,0.623,0.735,16,6
SPARCS,0.679,0.623,0.735,18,1
SPARCS,0.679,0.623,0.735,19,3
SPARCS,0.679,0.623,0.735,20,2
SPARCS,0.679,0.623,0.735,21,3
SPARCS,0.679,0.623,0.735,22,2
SPARCS,0.679,0.623,0.735,23,3
SPARCS,0.679,0.623,0.735,25,2
SPARCS,0.679,0.623,0.735,28,2
SPARCS,0.679,0.623,0.735,34,1
SPARCS,0.679,0.623,0.735,38,2
SPARCS,0.679,0.623,0.735,39,1
SPARCS,0.679,0.623,0.735,40,1
SPARCS,0.679,0.623,0.735,42,1
SPARCS,0.679,0.623,0.735,46,1
SPARCS,0.679,0.623,0.735,47,2
SPARCS,0.679,0.623,0.735,50,1
SPARCS,0.679,0.623,0.735,53,1
SPARCS,0.679,0.623,0.735,54,1
SPARCS,0.679,0.623,0.735,57,2
SPARCS,0.679,0.623,0.735,61,1
SPARCS,0.679,0.623,0.735,63,1
SPARCS,0.679,0.623,0.735,64,1
SPARCS,0.679,0.623,0.735,65,1
SPARCS,0.679,0.623,0.735,69,1
SPARCS,0.679,0.623,0.735,70,1
SPARCS,0.679,0.623,0.735,71,2
SPARCS,0.679,0.623,0.735,73,1
SPARCS,0.679,0.623,0.735,75,1
SPARCS,0.679,0.623,0.735,76,1
SPARCS,0.679,0.623,0.735,79,1
SPARCS,0.679,0.623,0.735,87,1
SPARCS,0.679,0.623,0.735,90,1
SPARCS,0.679,0.623,0.735,95,1
SPARCS,0.679,0.623,0.735,124,1
SPARCS,0.679,0.623,0.735,137,1
SPARCS,0.679,0.623,0.735,147,1
SPARCS,0.679,0.623,0.735,,0
SPARCS,0.7885,0.735,0.842,2,1
SPARCS,0.7885,0.735,0.842,7,1
SPARCS,0.7885,0.735,0.842,14,1
SPARCS,0.7885,0.735,0.842,17,3
