xlabel,.id,DISEASE,ventile,ventile_lab,n
Appendicitis,2000-2004,Legionnaires,1,2570,38
Appendicitis,2000-2004,Legionnaires,2,3240,48
Appendicitis,2000-2004,Legionnaires,3,3860,34
Appendicitis,2000-2004,Legionnaires,4,4310,31
Appendicitis,2000-2004,Legionnaires,5,4730,27
Appendicitis,2000-2004,Legionnaires,6,5030,40
Appendicitis,2000-2004,Legionnaires,7,5260,38
Appendicitis,2000-2004,Legionnaires,8,5490,47
Appendicitis,2000-2004,Legionnaires,9,5710,34
Appendicitis,2000-2004,Legionnaires,10,5920,41
Appendicitis,2000-2004,Legionnaires,11,6110,54
Appendicitis,2000-2004,Legionnaires,12,6290,35
Appendicitis,2000-2004,Legionnaires,13,6490,31
Appendicitis,2000-2004,Legionnaires,14,6660,35
Appendicitis,2000-2004,Legionnaires,15,6800,35
Appendicitis,2000-2004,Legionnaires,16,6960,34
Appendicitis,2000-2004,Legionnaires,17,7160,29
Appendicitis,2000-2004,Legionnaires,18,7400,22
Appendicitis,2000-2004,Legionnaires,19,7740,21
Appendicitis,2000-2004,Legionnaires,20,11100,30
Appendicitis,2005-2009,Legionnaires,1,2570,76
Appendicitis,2005-2009,Legionnaires,2,3250,115
Appendicitis,2005-2009,Legionnaires,3,3890,76
Appendicitis,2005-2009,Legionnaires,4,4350,82
Appendicitis,2005-2009,Legionnaires,5,4750,77
Appendicitis,2005-2009,Legionnaires,6,5050,107
Appendicitis,2005-2009,Legionnaires,7,5270,80
Appendicitis,2005-2009,Legionnaires,8,5510,126
Appendicitis,2005-2009,Legionnaires,9,5730,109
Appendicitis,2005-2009,Legionnaires,10,5930,108
Appendicitis,2005-2009,Legionnaires,11,6130,86
Appendicitis,2005-2009,Legionnaires,12,6310,75
Appendicitis,2005-2009,Legionnaires,13,6490,89
Appendicitis,2005-2009,Legionnaires,14,6670,77
Appendicitis,2005-2009,Legionnaires,15,6800,83
Appendicitis,2005-2009,Legionnaires,16,6960,54
Appendicitis,2005-2009,Legionnaires,17,7160,58
Appendicitis,2005-2009,Legionnaires,18,7390,61
Appendicitis,2005-2009,Legionnaires,19,7730,68
Appendicitis,2005-2009,Legionnaires,20,11100,71
Appendicitis,2010-2014,Legionnaires,1,2710,156
Appendicitis,2010-2014,Legionnaires,2,3440,156
Appendicitis,2010-2014,Legionnaires,3,4050,136
Appendicitis,2010-2014,Legionnaires,4,4490,116
Appendicitis,2010-2014,Legionnaires,5,4880,111
Appendicitis,2010-2014,Legionnaires,6,5140,89
Appendicitis,2010-2014,Legionnaires,7,5350,125
Appendicitis,2010-2014,Legionnaires,8,5570,122
Appendicitis,2010-2014,Legionnaires,9,5780,117
Appendicitis,2010-2014,Legionnaires,10,5980,105
Appendicitis,2010-2014,Legionnaires,11,6160,103
Appendicitis,2010-2014,Legionnaires,12,6350,109
Appendicitis,2010-2014,Legionnaires,13,6530,115
Appendicitis,2010-2014,Legionnaires,14,6690,94
Appendicitis,2010-2014,Legionnaires,15,6820,117
Appendicitis,2010-2014,Legionnaires,16,6970,89
Appendicitis,2010-2014,Legionnaires,17,7160,87
Appendicitis,2010-2014,Legionnaires,18,7380,74
Appendicitis,2010-2014,Legionnaires,19,7680,72
Appendicitis,2010-2014,Legionnaires,20,11100,101
Appendicitis,2015-2019,Legionnaires,1,2830,320
Appendicitis,2015-2019,Legionnaires,2,3610,247
Appendicitis,2015-2019,Legionnaires,3,4210,220
Appendicitis,2015-2019,Legionnaires,4,4610,231
Appendicitis,2015-2019,Legionnaires,5,4970,236
Appendicitis,2015-2019,Legionnaires,6,5190,223
Appendicitis,2015-2019,Legionnaires,7,5400,180
Appendicitis,2015-2019,Legionnaires,8,5600,212
Appendicitis,2015-2019,Legionnaires,9,5800,234
Appendicitis,2015-2019,Legionnaires,10,5990,196
Appendicitis,2015-2019,Legionnaires,11,6180,193
Appendicitis,2015-2019,Legionnaires,12,6350,165
Appendicitis,2015-2019,Legionnaires,13,6530,223
Appendicitis,2015-2019,Legionnaires,14,6680,197
Appendicitis,2015-2019,Legionnaires,15,6800,164
Appendicitis,2015-2019,Legionnaires,16,6950,192
Appendicitis,2015-2019,Legionnaires,17,7130,198
Appendicitis,2015-2019,Legionnaires,18,7350,153
Appendicitis,2015-2019,Legionnaires,19,7650,121
Appendicitis,2015-2019,Legionnaires,20,11100,166
