.id,year,variable,value
NEUS,1992,ratio,800.60519190954
NEUS,1993,ratio,690.237298932951
NEUS,1994,ratio,814.620162446249
NEUS,1995,ratio,530.817009077879
NEUS,1996,ratio,706.00414078675
NEUS,1997,ratio,677.97419971333
NEUS,1998,ratio,858.416945373467
NEUS,1999,ratio,748.049052396878
NEUS,2000,ratio,786.59022137283
NEUS,2001,ratio,720.019111323459
NEUS,2002,ratio,1002.07039337474
NEUS,2003,ratio,1643.25529542921
NEUS,2004,ratio,1343.68530020704
NEUS,2005,ratio,1867.49482401656
NEUS,2006,ratio,2326.4851090938
NEUS,2007,ratio,1970.8552317248
NEUS,2008,ratio,2564.73960821787
NEUS,2009,ratio,2801.24223602485
NEUS,2010,ratio,2387.80060519191
NEUS,2011,ratio,3374.10415671285
NEUS,2012,ratio,2492.91288421723
NEUS,2013,ratio,3479.21643573818
NEUS,2014,ratio,2838.03153368371
NEUS,2015,ratio,3433.66778149387
NEUS,2016,ratio,3137.60152890588
NEUS,2017,ratio,4397.19700589266
NEUS,2018,ratio,6415.35276317885
NEUS,2019,ratio,4880.71348940914
NYS,1992,ratio,775.448192038894
NYS,1993,ratio,615.01063506533
NYS,1994,ratio,487.997569127925
NYS,1995,ratio,474.627772713461
NYS,1996,ratio,661.804922515953
NYS,1997,ratio,708.599209966576
NYS,1998,ratio,1002.73473108478
NYS,1999,ratio,788.817988453358
NYS,2000,ratio,982.680036463081
NYS,2001,ratio,835.61227590398
NYS,2002,ratio,1230.02127013066
NYS,2003,ratio,1651.16985718627
NYS,2004,ratio,1316.92494682467
NYS,2005,ratio,2399.87845639623
NYS,2006,ratio,3542.99604983288
NYS,2007,ratio,2794.28745062291
NYS,2008,ratio,3362.50379823762
NYS,2009,ratio,3977.51443330295
NYS,2010,ratio,3101.79276815558
NYS,2011,ratio,4117.89729565482
NYS,2012,ratio,3355.81890003039
NYS,2013,ratio,5053.78304466727
NYS,2014,ratio,4345.1838347007
NYS,2015,ratio,5815.8614402917
NYS,2016,ratio,4886.66058948648
NYS,2017,ratio,6831.96596779095
NYS,2018,ratio,9519.29504709815
NYS,2019,ratio,7032.5129140079
US,1992,ratio,778.642524354087
US,1993,ratio,745.446844557391
US,1994,ratio,940.544260906396
US,1995,ratio,722.734011012283
US,1996,ratio,697.691656077933
US,1997,ratio,677.308343922067
US,1998,ratio,789.125370605676
US,1999,ratio,645.277424819992
US,2000,ratio,656.34265141889
US,2001,ratio,680.220245658619
US,2002,ratio,769.32443879712
US,2003,ratio,1299.87293519695
US,2004,ratio,1218.9220669208
US,2005,ratio,1340.05717916137
US,2006,ratio,1650.46590427785
US,2007,ratio,1581.74502329521
US,2008,ratio,1852.55188479458
US,2009,ratio,2051.14358322745
US,2010,ratio,1948.6446421008
US,2011,ratio,2447.16221939856
US,2012,ratio,2147.81872088098
US,2013,ratio,2885.11224057603
US,2014,ratio,3008.57687420584
US,2015,ratio,3540.2901313003
US,2016,ratio,3576.39771283355
US,2017,ratio,4343.39263024142
US,2018,ratio,5784.78398983482
US,2019,ratio,5177.36128759
NEUS,1992,cases,457
NEUS,1993,cases,394
NEUS,1994,cases,465
NEUS,1995,cases,303
NEUS,1996,cases,403
NEUS,1997,cases,387
NEUS,1998,cases,490
NEUS,1999,cases,427
NEUS,2000,cases,449
NEUS,2001,cases,411
NEUS,2002,cases,572
NEUS,2003,cases,938
NEUS,2004,cases,767
NEUS,2005,cases,1066
NEUS,2006,cases,1328
NEUS,2007,cases,1125
NEUS,2008,cases,1464
NEUS,2009,cases,1599
NEUS,2010,cases,1363
NEUS,2011,cases,1926
NEUS,2012,cases,1423
NEUS,2013,cases,1986
NEUS,2014,cases,1620
NEUS,2015,cases,1960
NEUS,2016,cases,1791
NEUS,2017,cases,2510
NEUS,2018,cases,3662
NEUS,2019,cases,2786
NYS,1992,cases,116
NYS,1993,cases,92
NYS,1994,cases,73
NYS,1995,cases,71
NYS,1996,cases,99
NYS,1997,cases,106
NYS,1998,cases,150
NYS,1999,cases,118
NYS,2000,cases,147
NYS,2001,cases,125
NYS,2002,cases,184
NYS,2003,cases,247
NYS,2004,cases,197
NYS,2005,cases,359
NYS,2006,cases,530
NYS,2007,cases,418
NYS,2008,cases,503
NYS,2009,cases,595
NYS,2010,cases,464
NYS,2011,cases,616
NYS,2012,cases,502
NYS,2013,cases,756
NYS,2014,cases,650
NYS,2015,cases,870
NYS,2016,cases,731
NYS,2017,cases,1022
NYS,2018,cases,1424
NYS,2019,cases,1052
US,1992,cases,1337
US,1993,cases,1280
US,1994,cases,1615
US,1995,cases,1241
US,1996,cases,1198
US,1997,cases,1163
US,1998,cases,1355
US,1999,cases,1108
US,2000,cases,1127
US,2001,cases,1168
US,2002,cases,1321
US,2003,cases,2232
US,2004,cases,2093
US,2005,cases,2301
US,2006,cases,2834
US,2007,cases,2716
US,2008,cases,3181
US,2009,cases,3522
US,2010,cases,3346
US,2011,cases,4202
US,2012,cases,3688
US,2013,cases,4954
US,2014,cases,5166
US,2015,cases,6079
US,2016,cases,6141
US,2017,cases,7458
US,2018,cases,9933
US,2019,cases,8890
