SO2,variable,value,low,high,mid,count
"(0.00833,0.0997]",CDC,2.31034482758621,0.00833,0.0997,0.054015,0
"(0.0997,0.148]",CDC,1.76271186440678,0.0997,0.148,0.12385,0
"(0.148,0.218]",CDC,2.20338983050847,0.148,0.218,0.183,0
"(0.218,0.276]",CDC,1.70175438596491,0.218,0.276,0.247,0
"(0.276,0.335]",CDC,1.13559322033898,0.276,0.335,0.3055,0
"(0.335,0.439]",CDC,1.6271186440678,0.335,0.439,0.387,0
"(0.439,0.535]",CDC,1.18965517241379,0.439,0.535,0.487,0
"(0.535,0.623]",CDC,1.03389830508475,0.535,0.623,0.579,0
"(0.623,0.735]",CDC,1.33898305084746,0.623,0.735,0.679,0
"(0.735,0.842]",CDC,1.1864406779661,0.735,0.842,0.7885,0
"(0.842,0.964]",CDC,0.844827586206897,0.842,0.964,0.903,0
"(0.964,1.07]",CDC,0.932203389830508,0.964,1.07,1.017,0
"(1.07,1.2]",CDC,1.11864406779661,1.07,1.2,1.135,0
"(1.2,1.31]",CDC,1.18965517241379,1.2,1.31,1.255,0
"(1.31,1.45]",CDC,0.864406779661017,1.31,1.45,1.38,0
"(1.45,1.56]",CDC,0.983050847457627,1.45,1.56,1.505,0
"(1.56,1.7]",CDC,1.03448275862069,1.56,1.7,1.63,0
"(1.7,1.82]",CDC,1.08474576271186,1.7,1.82,1.76,0
"(1.82,1.92]",CDC,0.677966101694915,1.82,1.92,1.87,0
"(1.92,2.05]",CDC,0.76271186440678,1.92,2.05,1.985,0
"(2.05,2.16]",CDC,0.517241379310345,2.05,2.16,2.105,0
"(2.16,2.27]",CDC,0.627118644067797,2.16,2.27,2.215,0
"(2.27,2.39]",CDC,0.966101694915254,2.27,2.39,2.33,0
"(2.39,2.54]",CDC,0.827586206896552,2.39,2.54,2.465,0
"(2.54,2.67]",CDC,0.525423728813559,2.54,2.67,2.605,0
"(2.67,2.81]",CDC,0.491525423728814,2.67,2.81,2.74,0
"(2.81,2.94]",CDC,0.810344827586207,2.81,2.94,2.875,0
"(2.94,3.11]",CDC,0.406779661016949,2.94,3.11,3.025,0
"(3.11,3.29]",CDC,0.508474576271186,3.11,3.29,3.2,0
"(3.29,3.42]",CDC,0.559322033898305,3.29,3.42,3.355,0
"(3.42,3.63]",CDC,0.344827586206897,3.42,3.63,3.525,0
"(3.63,3.8]",CDC,0.271186440677966,3.63,3.8,3.715,0
"(3.8,4.03]",CDC,0.220338983050847,3.8,4.03,3.915,0
"(4.03,4.28]",CDC,0.275862068965517,4.03,4.28,4.155,0
"(4.28,4.52]",CDC,0.338983050847458,4.28,4.52,4.4,0
"(4.52,4.77]",CDC,0.169491525423729,4.52,4.77,4.645,0
"(4.77,5.02]",CDC,0.293103448275862,4.77,5.02,4.895,0
"(5.02,5.35]",CDC,0.254237288135593,5.02,5.35,5.185,0
"(5.35,5.6]",CDC,0.169491525423729,5.35,5.6,5.475,0
"(5.6,5.94]",CDC,0.0338983050847458,5.6,5.94,5.77,0
"(5.94,6.23]",CDC,0.120689655172414,5.94,6.23,6.085,0
"(6.23,6.56]",CDC,0.322033898305085,6.23,6.56,6.395,0
"(6.56,6.95]",CDC,0.254237288135593,6.56,6.95,6.755,0
"(6.95,7.42]",CDC,0.206896551724138,6.95,7.42,7.185,0
"(7.42,7.8]",CDC,0.186440677966102,7.42,7.8,7.61,0
"(7.8,8.28]",CDC,0.254237288135593,7.8,8.28,8.04,0
"(8.28,9]",CDC,0.137931034482759,8.28,9,8.64,0
"(9,10.1]",CDC,0.220338983050847,9,10.1,9.55,0
"(10.1,11.8]",CDC,0.0847457627118644,10.1,11.8,10.95,0
"(11.8,49.5]",CDC,0.186440677966102,11.8,49.5,30.65,0
