SO2,variable,value,low,high,mid,count
"(0.00833,0.0997]",SPARCS,2,0.00833,0.0997,0.054015,0
"(0.0997,0.148]",SPARCS,1.40677966101695,0.0997,0.148,0.12385,0
"(0.148,0.218]",SPARCS,1.3728813559322,0.148,0.218,0.183,0
"(0.218,0.276]",SPARCS,1.31578947368421,0.218,0.276,0.247,0
"(0.276,0.335]",SPARCS,0.96551724137931,0.276,0.335,0.3055,0
"(0.335,0.439]",SPARCS,1.10169491525424,0.335,0.439,0.387,0
"(0.439,0.535]",SPARCS,1.01818181818182,0.439,0.535,0.487,0
"(0.535,0.623]",SPARCS,0.830508474576271,0.535,0.623,0.579,0
"(0.623,0.735]",SPARCS,0.948275862068965,0.623,0.735,0.679,0
"(0.735,0.842]",SPARCS,0.821428571428571,0.735,0.842,0.7885,0
"(0.842,0.964]",SPARCS,0.842105263157895,0.842,0.964,0.903,0
"(0.964,1.07]",SPARCS,0.568965517241379,0.964,1.07,1.017,0
"(1.07,1.2]",SPARCS,0.627118644067797,1.07,1.2,1.135,0
"(1.2,1.31]",SPARCS,0.732142857142857,1.2,1.31,1.255,0
"(1.31,1.45]",SPARCS,0.8,1.31,1.45,1.38,0
"(1.45,1.56]",SPARCS,0.758620689655172,1.45,1.56,1.505,0
"(1.56,1.7]",SPARCS,0.596491228070175,1.56,1.7,1.63,0
"(1.7,1.82]",SPARCS,0.824561403508772,1.7,1.82,1.76,0
"(1.82,1.92]",SPARCS,0.581818181818182,1.82,1.92,1.87,0
"(1.92,2.05]",SPARCS,0.685185185185185,1.92,2.05,1.985,0
"(2.05,2.16]",SPARCS,0.659574468085106,2.05,2.16,2.105,0
"(2.16,2.27]",SPARCS,0.454545454545455,2.16,2.27,2.215,0
"(2.27,2.39]",SPARCS,0.808510638297872,2.27,2.39,2.33,0
"(2.39,2.54]",SPARCS,0.6,2.39,2.54,2.465,0
"(2.54,2.67]",SPARCS,0.787234042553192,2.54,2.67,2.605,0
"(2.67,2.81]",SPARCS,0.487804878048781,2.67,2.81,2.74,0
"(2.81,2.94]",SPARCS,0.581395348837209,2.81,2.94,2.875,0
"(2.94,3.11]",SPARCS,0.454545454545455,2.94,3.11,3.025,0
"(3.11,3.29]",SPARCS,0.41025641025641,3.11,3.29,3.2,0
"(3.29,3.42]",SPARCS,0.409090909090909,3.29,3.42,3.355,0
"(3.42,3.63]",SPARCS,0.621621621621622,3.42,3.63,3.525,0
"(3.63,3.8]",SPARCS,0.375,3.63,3.8,3.715,0
"(3.8,4.03]",SPARCS,0.0625,3.8,4.03,3.915,0
"(4.03,4.28]",SPARCS,0.206896551724138,4.03,4.28,4.155,0
"(4.28,4.52]",SPARCS,0.114285714285714,4.28,4.52,4.4,0
"(4.52,4.77]",SPARCS,0.214285714285714,4.52,4.77,4.645,0
"(4.77,5.02]",SPARCS,0.192307692307692,4.77,5.02,4.895,0
"(5.02,5.35]",SPARCS,0.172413793103448,5.02,5.35,5.185,0
"(5.35,5.6]",SPARCS,0.296296296296296,5.35,5.6,5.475,0
"(5.6,5.94]",SPARCS,0.214285714285714,5.6,5.94,5.77,0
"(5.94,6.23]",SPARCS,0.166666666666667,5.94,6.23,6.085,0
"(6.23,6.56]",SPARCS,0.3125,6.23,6.56,6.395,0
"(6.56,6.95]",SPARCS,0.304347826086957,6.56,6.95,6.755,0
"(6.95,7.42]",SPARCS,0.166666666666667,6.95,7.42,7.185,0
"(7.42,7.8]",SPARCS,0.375,7.42,7.8,7.61,0
"(7.8,8.28]",SPARCS,0.238095238095238,7.8,8.28,8.04,0
"(8.28,9]",SPARCS,0,8.28,9,8.64,0
"(9,10.1]",SPARCS,0.0714285714285714,9,10.1,9.55,0
"(10.1,11.8]",SPARCS,0.0714285714285714,10.1,11.8,10.95,0
"(11.8,49.5]",SPARCS,0.222222222222222,11.8,49.5,30.65,0
