variable,mid,low,high,value,count
SPARCS,0.054015,0.00833,0.0997,0,19
SPARCS,0.054015,0.00833,0.0997,1,14
SPARCS,0.054015,0.00833,0.0997,2,6
SPARCS,0.054015,0.00833,0.0997,3,11
SPARCS,0.054015,0.00833,0.0997,4,2
SPARCS,0.054015,0.00833,0.0997,6,1
SPARCS,0.054015,0.00833,0.0997,7,4
SPARCS,0.054015,0.00833,0.0997,15,1
SPARCS,0.12385,0.0997,0.148,0,25
SPARCS,0.12385,0.0997,0.148,1,15
SPARCS,0.12385,0.0997,0.148,2,7
SPARCS,0.12385,0.0997,0.148,3,5
SPARCS,0.12385,0.0997,0.148,4,1
SPARCS,0.12385,0.0997,0.148,5,2
SPARCS,0.12385,0.0997,0.148,6,3
SPARCS,0.12385,0.0997,0.148,7,1
SPARCS,0.183,0.148,0.218,0,26
SPARCS,0.183,0.148,0.218,1,15
SPARCS,0.183,0.148,0.218,2,4
SPARCS,0.183,0.148,0.218,3,4
SPARCS,0.183,0.148,0.218,4,5
SPARCS,0.183,0.148,0.218,5,4
SPARCS,0.183,0.148,0.218,6,1
SPARCS,0.247,0.218,0.276,0,21
SPARCS,0.247,0.218,0.276,1,17
SPARCS,0.247,0.218,0.276,2,9
SPARCS,0.247,0.218,0.276,3,4
SPARCS,0.247,0.218,0.276,4,3
SPARCS,0.247,0.218,0.276,5,2
SPARCS,0.247,0.218,0.276,6,1
SPARCS,0.247,0.218,0.276,,0
SPARCS,0.3055,0.276,0.335,0,23
SPARCS,0.3055,0.276,0.335,1,23
SPARCS,0.3055,0.276,0.335,2,6
SPARCS,0.3055,0.276,0.335,3,3
SPARCS,0.3055,0.276,0.335,4,3
SPARCS,0.3055,0.276,0.335,,0
SPARCS,0.387,0.335,0.439,0,28
SPARCS,0.387,0.335,0.439,1,15
SPARCS,0.387,0.335,0.439,2,7
SPARCS,0.387,0.335,0.439,3,4
SPARCS,0.387,0.335,0.439,4,3
SPARCS,0.387,0.335,0.439,5,1
SPARCS,0.387,0.335,0.439,7,1
SPARCS,0.487,0.439,0.535,0,26
SPARCS,0.487,0.439,0.535,1,13
SPARCS,0.487,0.439,0.535,2,13
SPARCS,0.487,0.439,0.535,5,2
SPARCS,0.487,0.439,0.535,7,1
SPARCS,0.487,0.439,0.535,,0
SPARCS,0.579,0.535,0.623,0,33
SPARCS,0.579,0.535,0.623,1,11
SPARCS,0.579,0.535,0.623,2,10
SPARCS,0.579,0.535,0.623,3,4
SPARCS,0.579,0.535,0.623,6,1
SPARCS,0.679,0.623,0.735,0,29
SPARCS,0.679,0.623,0.735,1,14
SPARCS,0.679,0.623,0.735,2,12
SPARCS,0.679,0.623,0.735,4,1
SPARCS,0.679,0.623,0.735,6,1
SPARCS,0.679,0.623,0.735,7,1
SPARCS,0.679,0.623,0.735,,0
SPARCS,0.7885,0.735,0.842,0,29
SPARCS,0.7885,0.735,0.842,1,15
SPARCS,0.7885,0.735,0.842,2,7
SPARCS,0.7885,0.735,0.842,3,3
SPARCS,0.7885,0.735,0.842,4,2
SPARCS,0.7885,0.735,0.842,,0
SPARCS,0.903,0.842,0.964,0,24
SPARCS,0.903,0.842,0.964,1,23
SPARCS,0.903,0.842,0.964,2,7
SPARCS,0.903,0.842,0.964,3,2
SPARCS,0.903,0.842,0.964,5,1
SPARCS,0.903,0.842,0.964,,0
SPARCS,1.017,0.964,1.07,0,35
SPARCS,1.017,0.964,1.07,1,17
SPARCS,1.017,0.964,1.07,2,4
SPARCS,1.017,0.964,1.07,3,1
SPARCS,1.017,0.964,1.07,5,1
SPARCS,1.017,0.964,1.07,,0
SPARCS,1.135,1.07,1.2,0,36
SPARCS,1.135,1.07,1.2,1,14
SPARCS,1.135,1.07,1.2,2,6
SPARCS,1.135,1.07,1.2,3,2
SPARCS,1.135,1.07,1.2,5,1
SPARCS,1.255,1.2,1.31,0,29
SPARCS,1.255,1.2,1.31,1,15
SPARCS,1.255,1.2,1.31,2,10
SPARCS,1.255,1.2,1.31,3,2
SPARCS,1.255,1.2,1.31,,0
SPARCS,1.38,1.31,1.45,0,30
SPARCS,1.38,1.31,1.45,1,13
SPARCS,1.38,1.31,1.45,2,7
SPARCS,1.38,1.31,1.45,3,3
SPARCS,1.38,1.31,1.45,4,2
SPARCS,1.38,1.31,1.45,,0
SPARCS,1.505,1.45,1.56,0,37
SPARCS,1.505,1.45,1.56,1,8
SPARCS,1.505,1.45,1.56,2,8
SPARCS,1.505,1.45,1.56,3,2
SPARCS,1.505,1.45,1.56,4,1
SPARCS,1.505,1.45,1.56,5,2
SPARCS,1.505,1.45,1.56,,0
SPARCS,1.63,1.56,1.7,0,34
SPARCS,1.63,1.56,1.7,1,15
SPARCS,1.63,1.56,1.7,2,6
SPARCS,1.63,1.56,1.7,3,1
SPARCS,1.63,1.56,1.7,4,1
SPARCS,1.63,1.56,1.7,,0
SPARCS,1.76,1.7,1.82,0,32
SPARCS,1.76,1.7,1.82,1,15
SPARCS,1.76,1.7,1.82,2,3
SPARCS,1.76,1.7,1.82,3,4
SPARCS,1.76,1.7,1.82,4,2
SPARCS,1.76,1.7,1.82,6,1
SPARCS,1.76,1.7,1.82,,0
SPARCS,1.87,1.82,1.92,0,31
SPARCS,1.87,1.82,1.92,1,18
SPARCS,1.87,1.82,1.92,2,4
SPARCS,1.87,1.82,1.92,3,2
SPARCS,1.87,1.82,1.92,,0
SPARCS,1.985,1.92,2.05,0,35
SPARCS,1.985,1.92,2.05,1,12
SPARCS,1.985,1.92,2.05,2,4
SPARCS,1.985,1.92,2.05,3,1
SPARCS,1.985,1.92,2.05,4,1
SPARCS,1.985,1.92,2.05,10,1
SPARCS,1.985,1.92,2.05,,0
SPARCS,2.105,2.05,2.16,0,28
SPARCS,2.105,2.05,2.16,1,12
SPARCS,2.105,2.05,2.16,2,3
SPARCS,2.105,2.05,2.16,3,3
SPARCS,2.105,2.05,2.16,4,1
SPARCS,2.105,2.05,2.16,,0
SPARCS,2.215,2.16,2.27,0,37
SPARCS,2.215,2.16,2.27,1,13
SPARCS,2.215,2.16,2.27,2,4
SPARCS,2.215,2.16,2.27,4,1
SPARCS,2.215,2.16,2.27,,0
SPARCS,2.33,2.27,2.39,0,32
SPARCS,2.33,2.27,2.39,1,9
SPARCS,2.33,2.27,2.39,2,3
SPARCS,2.33,2.27,2.39,3,1
SPARCS,2.33,2.27,2.39,4,1
SPARCS,2.33,2.27,2.39,16,1
SPARCS,2.33,2.27,2.39,,0
SPARCS,2.465,2.39,2.54,0,29
SPARCS,2.465,2.39,2.54,1,11
SPARCS,2.465,2.39,2.54,2,3
SPARCS,2.465,2.39,2.54,3,1
SPARCS,2.465,2.39,2.54,7,1
SPARCS,2.465,2.39,2.54,,0
SPARCS,2.605,2.54,2.67,0,24
SPARCS,2.605,2.54,2.67,1,17
SPARCS,2.605,2.54,2.67,2,1
SPARCS,2.605,2.54,2.67,3,3
SPARCS,2.605,2.54,2.67,4,1
SPARCS,2.605,2.54,2.67,5,1
SPARCS,2.605,2.54,2.67,,0
SPARCS,2.74,2.67,2.81,0,27
SPARCS,2.74,2.67,2.81,1,9
SPARCS,2.74,2.67,2.81,2,4
SPARCS,2.74,2.67,2.81,3,1
SPARCS,2.74,2.67,2.81,,0
SPARCS,2.875,2.81,2.94,0,29
SPARCS,2.875,2.81,2.94,1,4
SPARCS,2.875,2.81,2.94,2,9
SPARCS,2.875,2.81,2.94,3,1
SPARCS,2.875,2.81,2.94,,0
SPARCS,3.025,2.94,3.11,0,31
SPARCS,3.025,2.94,3.11,1,7
SPARCS,3.025,2.94,3.11,2,5
SPARCS,3.025,2.94,3.11,3,1
SPARCS,3.025,2.94,3.11,,0
SPARCS,3.2,3.11,3.29,0,28
SPARCS,3.2,3.11,3.29,1,8
SPARCS,3.2,3.11,3.29,2,2
SPARCS,3.2,3.11,3.29,4,1
SPARCS,3.2,3.11,3.29,,0
SPARCS,3.355,3.29,3.42,0,29
SPARCS,3.355,3.29,3.42,1,12
SPARCS,3.355,3.29,3.42,2,3
SPARCS,3.355,3.29,3.42,,0
