SO2,variable,value,low,high,mid,count
"(0.00833,0.0997]",SPARCS,1.55172413793103,0.00833,0.0997,0.054015,0
"(0.0997,0.148]",SPARCS,1.44067796610169,0.0997,0.148,0.12385,0
"(0.148,0.218]",SPARCS,1.96610169491525,0.148,0.218,0.183,0
"(0.218,0.276]",SPARCS,1.98245614035088,0.218,0.276,0.247,0
"(0.276,0.335]",SPARCS,2.06896551724138,0.276,0.335,0.3055,0
"(0.335,0.439]",SPARCS,2.50847457627119,0.335,0.439,0.387,0
"(0.439,0.535]",SPARCS,2.6,0.439,0.535,0.487,0
"(0.535,0.623]",SPARCS,2.83050847457627,0.535,0.623,0.579,0
"(0.623,0.735]",SPARCS,2.27586206896552,0.623,0.735,0.679,0
"(0.735,0.842]",SPARCS,2.17857142857143,0.735,0.842,0.7885,0
"(0.842,0.964]",SPARCS,2.26315789473684,0.842,0.964,0.903,0
"(0.964,1.07]",SPARCS,2.01724137931034,0.964,1.07,1.017,0
"(1.07,1.2]",SPARCS,2.25423728813559,1.07,1.2,1.135,0
"(1.2,1.31]",SPARCS,2.39285714285714,1.2,1.31,1.255,0
"(1.31,1.45]",SPARCS,1.89090909090909,1.31,1.45,1.38,0
"(1.45,1.56]",SPARCS,2.31034482758621,1.45,1.56,1.505,0
"(1.56,1.7]",SPARCS,2.66666666666667,1.56,1.7,1.63,0
"(1.7,1.82]",SPARCS,2.24561403508772,1.7,1.82,1.76,0
"(1.82,1.92]",SPARCS,2.38181818181818,1.82,1.92,1.87,0
"(1.92,2.05]",SPARCS,2.90740740740741,1.92,2.05,1.985,0
"(2.05,2.16]",SPARCS,2.51063829787234,2.05,2.16,2.105,0
"(2.16,2.27]",SPARCS,2.72727272727273,2.16,2.27,2.215,0
"(2.27,2.39]",SPARCS,2.93617021276596,2.27,2.39,2.33,0
"(2.39,2.54]",SPARCS,2.17777777777778,2.39,2.54,2.465,0
"(2.54,2.67]",SPARCS,2.06382978723404,2.54,2.67,2.605,0
"(2.67,2.81]",SPARCS,2.36585365853659,2.67,2.81,2.74,0
"(2.81,2.94]",SPARCS,2.3953488372093,2.81,2.94,2.875,0
"(2.94,3.11]",SPARCS,2.02272727272727,2.94,3.11,3.025,0
"(3.11,3.29]",SPARCS,2.51282051282051,3.11,3.29,3.2,0
"(3.29,3.42]",SPARCS,2.18181818181818,3.29,3.42,3.355,0
"(3.42,3.63]",SPARCS,2.40540540540541,3.42,3.63,3.525,0
"(3.63,3.8]",SPARCS,3.6875,3.63,3.8,3.715,0
"(3.8,4.03]",SPARCS,1.78125,3.8,4.03,3.915,0
"(4.03,4.28]",SPARCS,2.24137931034483,4.03,4.28,4.155,0
"(4.28,4.52]",SPARCS,2.51428571428571,4.28,4.52,4.4,0
"(4.52,4.77]",SPARCS,1.85714285714286,4.52,4.77,4.645,0
"(4.77,5.02]",SPARCS,2,4.77,5.02,4.895,0
"(5.02,5.35]",SPARCS,2.06896551724138,5.02,5.35,5.185,0
"(5.35,5.6]",SPARCS,2.25925925925926,5.35,5.6,5.475,0
"(5.6,5.94]",SPARCS,2.35714285714286,5.6,5.94,5.77,0
"(5.94,6.23]",SPARCS,2.16666666666667,5.94,6.23,6.085,0
"(6.23,6.56]",SPARCS,2.3125,6.23,6.56,6.395,0
"(6.56,6.95]",SPARCS,3.04347826086957,6.56,6.95,6.755,0
"(6.95,7.42]",SPARCS,2.44444444444444,6.95,7.42,7.185,0
"(7.42,7.8]",SPARCS,2.75,7.42,7.8,7.61,0
"(7.8,8.28]",SPARCS,2.47619047619048,7.8,8.28,8.04,0
"(8.28,9]",SPARCS,2.42105263157895,8.28,9,8.64,0
"(9,10.1]",SPARCS,2.57142857142857,9,10.1,9.55,0
"(10.1,11.8]",SPARCS,2.28571428571429,10.1,11.8,10.95,0
"(11.8,49.5]",SPARCS,1.66666666666667,11.8,49.5,30.65,0
