variable,mid,low,high,value,count
SPARCS,0.054015,0.00833,0.0997,0,18
SPARCS,0.054015,0.00833,0.0997,1,15
SPARCS,0.054015,0.00833,0.0997,2,13
SPARCS,0.054015,0.00833,0.0997,3,4
SPARCS,0.054015,0.00833,0.0997,4,7
SPARCS,0.054015,0.00833,0.0997,9,1
SPARCS,0.12385,0.0997,0.148,0,22
SPARCS,0.12385,0.0997,0.148,1,17
SPARCS,0.12385,0.0997,0.148,2,9
SPARCS,0.12385,0.0997,0.148,3,3
SPARCS,0.12385,0.0997,0.148,4,3
SPARCS,0.12385,0.0997,0.148,5,3
SPARCS,0.12385,0.0997,0.148,6,1
SPARCS,0.12385,0.0997,0.148,8,1
SPARCS,0.183,0.148,0.218,0,15
SPARCS,0.183,0.148,0.218,1,17
SPARCS,0.183,0.148,0.218,2,7
SPARCS,0.183,0.148,0.218,3,9
SPARCS,0.183,0.148,0.218,4,5
SPARCS,0.183,0.148,0.218,5,2
SPARCS,0.183,0.148,0.218,6,2
SPARCS,0.183,0.148,0.218,7,1
SPARCS,0.183,0.148,0.218,9,1
SPARCS,0.247,0.218,0.276,0,12
SPARCS,0.247,0.218,0.276,1,16
SPARCS,0.247,0.218,0.276,2,9
SPARCS,0.247,0.218,0.276,3,10
SPARCS,0.247,0.218,0.276,4,4
SPARCS,0.247,0.218,0.276,5,5
SPARCS,0.247,0.218,0.276,8,1
SPARCS,0.247,0.218,0.276,,0
SPARCS,0.3055,0.276,0.335,0,12
SPARCS,0.3055,0.276,0.335,1,16
SPARCS,0.3055,0.276,0.335,2,10
SPARCS,0.3055,0.276,0.335,3,11
SPARCS,0.3055,0.276,0.335,4,2
SPARCS,0.3055,0.276,0.335,5,3
SPARCS,0.3055,0.276,0.335,7,4
SPARCS,0.3055,0.276,0.335,,0
SPARCS,0.387,0.335,0.439,0,11
SPARCS,0.387,0.335,0.439,1,11
SPARCS,0.387,0.335,0.439,2,13
SPARCS,0.387,0.335,0.439,3,9
SPARCS,0.387,0.335,0.439,4,7
SPARCS,0.387,0.335,0.439,5,2
SPARCS,0.387,0.335,0.439,6,2
SPARCS,0.387,0.335,0.439,7,2
SPARCS,0.387,0.335,0.439,8,1
SPARCS,0.387,0.335,0.439,12,1
SPARCS,0.487,0.439,0.535,0,11
SPARCS,0.487,0.439,0.535,1,8
SPARCS,0.487,0.439,0.535,2,15
SPARCS,0.487,0.439,0.535,3,8
SPARCS,0.487,0.439,0.535,4,4
SPARCS,0.487,0.439,0.535,5,2
SPARCS,0.487,0.439,0.535,6,4
SPARCS,0.487,0.439,0.535,7,1
SPARCS,0.487,0.439,0.535,11,1
SPARCS,0.487,0.439,0.535,13,1
SPARCS,0.487,0.439,0.535,,0
SPARCS,0.579,0.535,0.623,0,9
SPARCS,0.579,0.535,0.623,1,10
SPARCS,0.579,0.535,0.623,2,15
SPARCS,0.579,0.535,0.623,3,7
SPARCS,0.579,0.535,0.623,4,5
SPARCS,0.579,0.535,0.623,5,7
SPARCS,0.579,0.535,0.623,6,1
SPARCS,0.579,0.535,0.623,7,2
SPARCS,0.579,0.535,0.623,8,1
SPARCS,0.579,0.535,0.623,9,1
SPARCS,0.579,0.535,0.623,14,1
SPARCS,0.679,0.623,0.735,0,12
SPARCS,0.679,0.623,0.735,1,13
SPARCS,0.679,0.623,0.735,2,7
SPARCS,0.679,0.623,0.735,3,11
SPARCS,0.679,0.623,0.735,4,5
SPARCS,0.679,0.623,0.735,5,8
SPARCS,0.679,0.623,0.735,6,2
SPARCS,0.679,0.623,0.735,,0
SPARCS,0.7885,0.735,0.842,0,12
SPARCS,0.7885,0.735,0.842,1,17
SPARCS,0.7885,0.735,0.842,2,6
SPARCS,0.7885,0.735,0.842,3,10
SPARCS,0.7885,0.735,0.842,4,4
SPARCS,0.7885,0.735,0.842,5,2
SPARCS,0.7885,0.735,0.842,6,3
SPARCS,0.7885,0.735,0.842,8,1
SPARCS,0.7885,0.735,0.842,11,1
SPARCS,0.7885,0.735,0.842,,0
SPARCS,0.903,0.842,0.964,0,11
SPARCS,0.903,0.842,0.964,1,15
SPARCS,0.903,0.842,0.964,2,12
SPARCS,0.903,0.842,0.964,3,9
SPARCS,0.903,0.842,0.964,4,2
SPARCS,0.903,0.842,0.964,5,1
SPARCS,0.903,0.842,0.964,6,4
SPARCS,0.903,0.842,0.964,7,1
SPARCS,0.903,0.842,0.964,8,1
SPARCS,0.903,0.842,0.964,11,1
SPARCS,0.903,0.842,0.964,,0
SPARCS,1.017,0.964,1.07,0,11
SPARCS,1.017,0.964,1.07,1,17
SPARCS,1.017,0.964,1.07,2,10
SPARCS,1.017,0.964,1.07,3,8
SPARCS,1.017,0.964,1.07,4,7
SPARCS,1.017,0.964,1.07,5,3
SPARCS,1.017,0.964,1.07,6,1
SPARCS,1.017,0.964,1.07,7,1
SPARCS,1.017,0.964,1.07,,0
SPARCS,1.135,1.07,1.2,0,13
SPARCS,1.135,1.07,1.2,1,15
SPARCS,1.135,1.07,1.2,2,12
SPARCS,1.135,1.07,1.2,3,5
SPARCS,1.135,1.07,1.2,4,4
SPARCS,1.135,1.07,1.2,5,3
SPARCS,1.135,1.07,1.2,6,3
SPARCS,1.135,1.07,1.2,7,2
SPARCS,1.135,1.07,1.2,8,2
SPARCS,1.255,1.2,1.31,0,9
SPARCS,1.255,1.2,1.31,1,12
SPARCS,1.255,1.2,1.31,2,10
SPARCS,1.255,1.2,1.31,3,9
SPARCS,1.255,1.2,1.31,4,10
SPARCS,1.255,1.2,1.31,5,4
SPARCS,1.255,1.2,1.31,7,1
SPARCS,1.255,1.2,1.31,8,1
SPARCS,1.255,1.2,1.31,,0
SPARCS,1.38,1.31,1.45,0,12
SPARCS,1.38,1.31,1.45,1,19
SPARCS,1.38,1.31,1.45,2,9
SPARCS,1.38,1.31,1.45,3,7
SPARCS,1.38,1.31,1.45,4,3
SPARCS,1.38,1.31,1.45,5,1
SPARCS,1.38,1.31,1.45,6,2
SPARCS,1.38,1.31,1.45,8,1
SPARCS,1.38,1.31,1.45,9,1
SPARCS,1.38,1.31,1.45,,0
SPARCS,1.505,1.45,1.56,0,10
SPARCS,1.505,1.45,1.56,1,15
SPARCS,1.505,1.45,1.56,2,11
SPARCS,1.505,1.45,1.56,3,14
SPARCS,1.505,1.45,1.56,4,2
SPARCS,1.505,1.45,1.56,5,1
SPARCS,1.505,1.45,1.56,6,2
SPARCS,1.505,1.45,1.56,8,1
SPARCS,1.505,1.45,1.56,10,1
SPARCS,1.505,1.45,1.56,12,1
SPARCS,1.505,1.45,1.56,,0
SPARCS,1.63,1.56,1.7,0,7
SPARCS,1.63,1.56,1.7,1,12
SPARCS,1.63,1.56,1.7,2,13
SPARCS,1.63,1.56,1.7,3,8
SPARCS,1.63,1.56,1.7,4,6
SPARCS,1.63,1.56,1.7,5,5
SPARCS,1.63,1.56,1.7,6,3
SPARCS,1.63,1.56,1.7,7,1
SPARCS,1.63,1.56,1.7,8,2
SPARCS,1.63,1.56,1.7,,0
SPARCS,1.76,1.7,1.82,0,13
SPARCS,1.76,1.7,1.82,1,12
SPARCS,1.76,1.7,1.82,2,12
SPARCS,1.76,1.7,1.82,3,7
SPARCS,1.76,1.7,1.82,4,4
SPARCS,1.76,1.7,1.82,5,5
SPARCS,1.76,1.7,1.82,6,1
SPARCS,1.76,1.7,1.82,7,1
SPARCS,1.76,1.7,1.82,8,1
SPARCS,1.76,1.7,1.82,9,1
SPARCS,1.76,1.7,1.82,,0
SPARCS,1.87,1.82,1.92,0,9
SPARCS,1.87,1.82,1.92,1,13
SPARCS,1.87,1.82,1.92,2,6
SPARCS,1.87,1.82,1.92,3,12
SPARCS,1.87,1.82,1.92,4,10
SPARCS,1.87,1.82,1.92,5,2
SPARCS,1.87,1.82,1.92,6,1
SPARCS,1.87,1.82,1.92,7,2
SPARCS,1.87,1.82,1.92,,0
SPARCS,1.985,1.92,2.05,0,7
SPARCS,1.985,1.92,2.05,1,10
SPARCS,1.985,1.92,2.05,2,9
SPARCS,1.985,1.92,2.05,3,11
SPARCS,1.985,1.92,2.05,4,8
SPARCS,1.985,1.92,2.05,5,1
SPARCS,1.985,1.92,2.05,6,2
SPARCS,1.985,1.92,2.05,7,3
SPARCS,1.985,1.92,2.05,8,2
SPARCS,1.985,1.92,2.05,10,1
SPARCS,1.985,1.92,2.05,,0
SPARCS,2.105,2.05,2.16,0,8
SPARCS,2.105,2.05,2.16,1,8
SPARCS,2.105,2.05,2.16,2,10
SPARCS,2.105,2.05,2.16,3,9
SPARCS,2.105,2.05,2.16,4,6
SPARCS,2.105,2.05,2.16,5,3
SPARCS,2.105,2.05,2.16,6,1
SPARCS,2.105,2.05,2.16,8,1
SPARCS,2.105,2.05,2.16,10,1
SPARCS,2.105,2.05,2.16,,0
SPARCS,2.215,2.16,2.27,0,9
SPARCS,2.215,2.16,2.27,1,8
SPARCS,2.215,2.16,2.27,2,9
SPARCS,2.215,2.16,2.27,3,11
SPARCS,2.215,2.16,2.27,4,8
SPARCS,2.215,2.16,2.27,5,5
SPARCS,2.215,2.16,2.27,6,2
SPARCS,2.215,2.16,2.27,7,2
SPARCS,2.215,2.16,2.27,8,1
SPARCS,2.215,2.16,2.27,,0
SPARCS,2.33,2.27,2.39,0,6
SPARCS,2.33,2.27,2.39,1,8
SPARCS,2.33,2.27,2.39,2,10
SPARCS,2.33,2.27,2.39,3,8
SPARCS,2.33,2.27,2.39,4,2
SPARCS,2.33,2.27,2.39,5,6
SPARCS,2.33,2.27,2.39,6,5
SPARCS,2.33,2.27,2.39,9,2
SPARCS,2.33,2.27,2.39,,0
