variable,mid,low,high,value,count
CDC,0.054015,0.00833,0.0997,0,41
CDC,0.054015,0.00833,0.0997,1,8
CDC,0.054015,0.00833,0.0997,2,6
CDC,0.054015,0.00833,0.0997,4,2
CDC,0.054015,0.00833,0.0997,5,1
CDC,0.12385,0.0997,0.148,0,38
CDC,0.12385,0.0997,0.148,1,12
CDC,0.12385,0.0997,0.148,2,7
CDC,0.12385,0.0997,0.148,3,1
CDC,0.12385,0.0997,0.148,4,1
CDC,0.183,0.148,0.218,0,39
CDC,0.183,0.148,0.218,1,14
CDC,0.183,0.148,0.218,2,4
CDC,0.183,0.148,0.218,3,1
CDC,0.183,0.148,0.218,5,1
CDC,0.247,0.218,0.276,0,32
CDC,0.247,0.218,0.276,1,18
CDC,0.247,0.218,0.276,2,5
CDC,0.247,0.218,0.276,5,1
CDC,0.247,0.218,0.276,7,1
CDC,0.247,0.218,0.276,8,1
CDC,0.3055,0.276,0.335,0,37
CDC,0.3055,0.276,0.335,1,14
CDC,0.3055,0.276,0.335,2,4
CDC,0.3055,0.276,0.335,3,2
CDC,0.3055,0.276,0.335,4,2
CDC,0.387,0.335,0.439,0,37
CDC,0.387,0.335,0.439,1,8
CDC,0.387,0.335,0.439,2,8
CDC,0.387,0.335,0.439,3,3
CDC,0.387,0.335,0.439,4,2
CDC,0.387,0.335,0.439,17,1
CDC,0.487,0.439,0.535,0,42
CDC,0.487,0.439,0.535,1,5
CDC,0.487,0.439,0.535,2,7
CDC,0.487,0.439,0.535,3,1
CDC,0.487,0.439,0.535,4,1
CDC,0.487,0.439,0.535,6,1
CDC,0.487,0.439,0.535,8,1
CDC,0.579,0.535,0.623,0,36
CDC,0.579,0.535,0.623,1,11
CDC,0.579,0.535,0.623,2,9
CDC,0.579,0.535,0.623,3,2
CDC,0.579,0.535,0.623,6,1
CDC,0.679,0.623,0.735,0,43
CDC,0.679,0.623,0.735,1,11
CDC,0.679,0.623,0.735,2,4
CDC,0.679,0.623,0.735,3,1
CDC,0.7885,0.735,0.842,0,36
CDC,0.7885,0.735,0.842,1,15
CDC,0.7885,0.735,0.842,2,2
CDC,0.7885,0.735,0.842,3,3
