SO2,variable,value,low,high,mid,count
"(0.00833,0.0997]",CDC,0.568965517241379,0.00833,0.0997,0.054015,0
"(0.00833,0.0997]",SPARCS,0.837209302325582,0.00833,0.0997,0.054015,0
"(0.0997,0.148]",CDC,0.559322033898305,0.0997,0.148,0.12385,0
"(0.0997,0.148]",SPARCS,0.85,0.0997,0.148,0.12385,0
"(0.148,0.218]",CDC,0.508474576271186,0.148,0.218,0.183,0
"(0.148,0.218]",SPARCS,0.558139534883721,0.148,0.218,0.183,0
"(0.218,0.276]",CDC,0.827586206896552,0.218,0.276,0.247,0
"(0.218,0.276]",SPARCS,0.75,0.218,0.276,0.247,0
"(0.276,0.335]",CDC,0.610169491525424,0.276,0.335,0.3055,0
"(0.276,0.335]",SPARCS,0.804878048780488,0.276,0.335,0.3055,0
"(0.335,0.439]",CDC,0.983050847457627,0.335,0.439,0.387,0
"(0.335,0.439]",SPARCS,0.571428571428571,0.335,0.439,0.387,0
"(0.439,0.535]",CDC,0.689655172413793,0.439,0.535,0.487,0
"(0.439,0.535]",SPARCS,0.461538461538462,0.439,0.535,0.487,0
"(0.535,0.623]",CDC,0.694915254237288,0.535,0.623,0.579,0
"(0.535,0.623]",SPARCS,0.8,0.535,0.623,0.579,0
"(0.623,0.735]",CDC,0.372881355932203,0.623,0.735,0.679,0
"(0.623,0.735]",SPARCS,0.595238095238095,0.623,0.735,0.679,0
"(0.735,0.842]",CDC,0.728813559322034,0.735,0.842,0.7885,0
"(0.735,0.842]",SPARCS,0.681818181818182,0.735,0.842,0.7885,0
"(0.842,0.964]",CDC,0.689655172413793,0.842,0.964,0.903,0
"(0.842,0.964]",SPARCS,0.681818181818182,0.842,0.964,0.903,0
"(0.964,1.07]",CDC,0.796610169491525,0.964,1.07,1.017,0
"(0.964,1.07]",SPARCS,0.630434782608696,0.964,1.07,1.017,0
"(1.07,1.2]",CDC,0.610169491525424,1.07,1.2,1.135,0
"(1.07,1.2]",SPARCS,0.422222222222222,1.07,1.2,1.135,0
"(1.2,1.31]",CDC,1.10344827586207,1.2,1.31,1.255,0
"(1.2,1.31]",SPARCS,1.35135135135135,1.2,1.31,1.255,0
"(1.31,1.45]",CDC,0.796610169491525,1.31,1.45,1.38,0
"(1.31,1.45]",SPARCS,0.81578947368421,1.31,1.45,1.38,0
"(1.45,1.56]",CDC,0.711864406779661,1.45,1.56,1.505,0
"(1.45,1.56]",SPARCS,0.931818181818182,1.45,1.56,1.505,0
"(1.56,1.7]",CDC,0.551724137931035,1.56,1.7,1.63,0
"(1.56,1.7]",SPARCS,0.613636363636364,1.56,1.7,1.63,0
"(1.7,1.82]",CDC,0.661016949152542,1.7,1.82,1.76,0
"(1.7,1.82]",SPARCS,0.777777777777778,1.7,1.82,1.76,0
"(1.82,1.92]",CDC,0.610169491525424,1.82,1.92,1.87,0
"(1.82,1.92]",SPARCS,0.666666666666667,1.82,1.92,1.87,0
"(1.92,2.05]",CDC,0.491525423728814,1.92,2.05,1.985,0
"(1.92,2.05]",SPARCS,0.590909090909091,1.92,2.05,1.985,0
"(2.05,2.16]",CDC,0.379310344827586,2.05,2.16,2.105,0
"(2.05,2.16]",SPARCS,0.386363636363636,2.05,2.16,2.105,0
"(2.16,2.27]",CDC,0.610169491525424,2.16,2.27,2.215,0
"(2.16,2.27]",SPARCS,0.611111111111111,2.16,2.27,2.215,0
"(2.27,2.39]",CDC,0.864406779661017,2.27,2.39,2.33,0
"(2.27,2.39]",SPARCS,0.765957446808511,2.27,2.39,2.33,0
"(2.39,2.54]",CDC,0.689655172413793,2.39,2.54,2.465,0
"(2.39,2.54]",SPARCS,0.970588235294118,2.39,2.54,2.465,0
"(2.54,2.67]",CDC,1,2.54,2.67,2.605,0
"(2.54,2.67]",SPARCS,0.595238095238095,2.54,2.67,2.605,0
"(2.67,2.81]",CDC,0.559322033898305,2.67,2.81,2.74,0
"(2.67,2.81]",SPARCS,0.513513513513514,2.67,2.81,2.74,0
"(2.81,2.94]",CDC,0.431034482758621,2.81,2.94,2.875,0
"(2.81,2.94]",SPARCS,0.631578947368421,2.81,2.94,2.875,0
"(2.94,3.11]",CDC,0.711864406779661,2.94,3.11,3.025,0
"(2.94,3.11]",SPARCS,0.717948717948718,2.94,3.11,3.025,0
"(3.11,3.29]",CDC,0.915254237288136,3.11,3.29,3.2,0
"(3.11,3.29]",SPARCS,0.871794871794872,3.11,3.29,3.2,0
"(3.29,3.42]",CDC,0.559322033898305,3.29,3.42,3.355,0
"(3.29,3.42]",SPARCS,0.5,3.29,3.42,3.355,0
"(3.42,3.63]",CDC,0.827586206896552,3.42,3.63,3.525,0
"(3.42,3.63]",SPARCS,0.613636363636364,3.42,3.63,3.525,0
"(3.63,3.8]",CDC,0.728813559322034,3.63,3.8,3.715,0
"(3.63,3.8]",SPARCS,0.477272727272727,3.63,3.8,3.715,0
"(3.8,4.03]",CDC,0.779661016949153,3.8,4.03,3.915,0
"(3.8,4.03]",SPARCS,0.571428571428571,3.8,4.03,3.915,0
"(4.03,4.28]",CDC,0.724137931034483,4.03,4.28,4.155,0
"(4.03,4.28]",SPARCS,0.891891891891892,4.03,4.28,4.155,0
"(4.28,4.52]",CDC,0.813559322033898,4.28,4.52,4.4,0
"(4.28,4.52]",SPARCS,0.5,4.28,4.52,4.4,0
"(4.52,4.77]",CDC,0.576271186440678,4.52,4.77,4.645,0
"(4.52,4.77]",SPARCS,0.615384615384615,4.52,4.77,4.645,0
"(4.77,5.02]",CDC,0.655172413793103,4.77,5.02,4.895,0
"(4.77,5.02]",SPARCS,0.760869565217391,4.77,5.02,4.895,0
"(5.02,5.35]",CDC,0.915254237288136,5.02,5.35,5.185,0
"(5.02,5.35]",SPARCS,0.547619047619048,5.02,5.35,5.185,0
"(5.35,5.6]",CDC,1.01694915254237,5.35,5.6,5.475,0
"(5.35,5.6]",SPARCS,0.826086956521739,5.35,5.6,5.475,0
"(5.6,5.94]",CDC,0.672413793103448,5.6,5.94,5.77,0
"(5.6,5.94]",SPARCS,0.521739130434783,5.6,5.94,5.77,0
"(5.94,6.23]",CDC,0.706896551724138,5.94,6.23,6.085,0
"(5.94,6.23]",SPARCS,0.880952380952381,5.94,6.23,6.085,0
"(6.23,6.56]",CDC,0.576271186440678,6.23,6.56,6.395,0
"(6.23,6.56]",SPARCS,0.615384615384615,6.23,6.56,6.395,0
"(6.56,6.95]",CDC,0.745762711864407,6.56,6.95,6.755,0
"(6.56,6.95]",SPARCS,0.473684210526316,6.56,6.95,6.755,0
"(6.95,7.42]",CDC,0.543859649122807,6.95,7.42,7.185,0
"(6.95,7.42]",SPARCS,0.694444444444445,6.95,7.42,7.185,0
"(7.42,7.8]",CDC,0.728813559322034,7.42,7.8,7.61,0
"(7.42,7.8]",SPARCS,0.525,7.42,7.8,7.61,0
"(7.8,8.28]",CDC,0.830508474576271,7.8,8.28,8.04,0
"(7.8,8.28]",SPARCS,0.581395348837209,7.8,8.28,8.04,0
"(8.28,9]",CDC,0.568965517241379,8.28,9,8.64,0
"(8.28,9]",SPARCS,0.674418604651163,8.28,9,8.64,0
"(9,10.1]",CDC,0.745762711864407,9,10.1,9.55,0
"(9,10.1]",SPARCS,0.785714285714286,9,10.1,9.55,0
"(10.1,11.8]",CDC,0.745762711864407,10.1,11.8,10.95,0
"(10.1,11.8]",SPARCS,0.808510638297872,10.1,11.8,10.95,0
"(11.8,49.5]",CDC,0.847457627118644,11.8,49.5,30.65,0
"(11.8,49.5]",SPARCS,0.948717948717949,11.8,49.5,30.65,0
