Nutritional composition of edible seaweeds compared to whole foods,Nutritional composition of edible seaweeds compared to whole foods,,,,,,,,,,,,,,,,,category,,,
,,Seaweed (g/100g wet weight),,,,,,,,,,,,,,,,,,,
common name,sci-name,total fats,saturated fat,cholesterol,protein,Total fiber ,Soluble fiber ,Insoluble fiber ,Carbohydrates,Calcium ,Potassium ,Magnesium ,Sodium ,Copper ,Iron ,Iodine ,Zinc,,Source,URL,URL
RDA,,,,,,,,,,,,,,,,,,,,,
Norwegian Kelp,-Ascophyllum nodosum ,0.6,0.2,0,1.7,8.8,7.5,1.3,13.1,575,765,225,1174,0.8,14.9,18.2,-,seaweed,"Nutrition Reviews, Self Nutrition Data",https://academic.oup.com/nutritionreviews/article-abstract/65/12/535/1903132?redirectedFrom=PDF,https://www.nutritionvalue.org/Seaweed%2C_raw%2C_kelp_nutritional_value.html
Oarweed,-Laminaria digitata ,-,-,0,-,6.2,5.4,0.8,9.9,365,2013,404,625,0.3,45.6,70,1.6,seaweed,Nutrition Reviews,https://academic.oup.com/nutritionreviews/article-abstract/65/12/535/1903132?redirectedFrom=PDF,
Thongweed,-Himanthalia elongata ,-,-,0,-,9.8,7.7,2.1,15,30,1351,90,601,0.1,5,10.7,1.7,seaweed,Nutrition Reviews,https://academic.oup.com/nutritionreviews/article-abstract/65/12/535/1903132?redirectedFrom=PDF,
Wakame,-Undaria pinnatifida ,0.6,0.1,0,3,3.4,2.9,0.5,4.6,112,62,79,449,0.2,3.9,3.9,0.3,seaweed,Nutrition Reviews,https://academic.oup.com/nutritionreviews/article-abstract/65/12/535/1903132?redirectedFrom=PDF,https://www.nutritionvalue.org/Seaweed%2C_raw%2C_wakame_nutritional_value.html
Nori ,-Porphyra umbilicalis,0.3,0.1,0,5.8,3.8,3,1,5.4,34,302,108,120,0.1,5.2,1.3,0.7,seaweed,Nutrition Reviews,https://academic.oup.com/nutritionreviews/article-abstract/65/12/535/1903132?redirectedFrom=PDF,https://www.nutritionvalue.org/Seaweed%2C_raw%2C_laver_nutritional_value.html
Dulse,-Palmaria palmata ,-,-,0,-,5.4,3,2.3,10.6,149,1170,98,255,0.4,12.8,10.2,0.3,seaweed,Nutrition Reviews,https://academic.oup.com/nutritionreviews/article-abstract/65/12/535/1903132?redirectedFrom=PDF,
Irish Moss,-Chondrus crispus ,0.2,0,0,1.5,1.3,-,-,12,374,828,574,1573,0.1,6.6,6.1,-,seaweed,Nutrition Reviews,https://academic.oup.com/nutritionreviews/article-abstract/65/12/535/1903132?redirectedFrom=PDF,
