Major,S1C1GSK,S1C1CE,Wksp,S1C2GSK,S1C2CE,S2C1CE,S2C1GSK
FILM,MM,O&C,DM,FM,P&I,B&C,DTT
HCD,DM,P&I,DM,FM,O&C,B&C,DTT
CAP,MM,S&P,MM,FM,F&S,B&C,DTT
DMA,FM,P&I,FM,MM,O&C,B&C,DTT
BSSD,DM,S&P,DM,FM,F&S,B&C,DTT
CW,FM,P&I,FM,MM,S&P,B&C,DTT
IADP,FM,P&I,FM,DM,O&C,F&S,DTT
HCD,DM,P&I,DM,FM,S&P,F&S,DTT
CE,FM,C&P,FM,MM,O&C,F&S,DTT
PSD,FM,P&I,FM,DM,C&P,F&S,DTT
PSD,MM,C&P,FM,DM,O&C,F&S,DTT
VCSB,DM,P&I,MM,FM,C&P,F&S,DTT
HCD,MM,F&S,DM,FM,S&P,O&C,DTT
IAIDP,DM,S&P,MM,FM,F&S,O&C,DTT
VCSB,MM,S&P,DM,FM,F&S,O&C,DTT
IAIDP,MM,P&I,FM,DM,S&P,O&C,DTT
DMA,DM,F&S,FM,MM,S&P,O&C,DTT
0,0,0,0,0,0,O&C,DTT
IADP,FM,P&I,FM,DM,S&P,O&C,DTT
CE,MM,C&P,FM,DM,O&C,P&I,DTT
FILM,MM,S&P,DM,FM,F&S,P&I,DTT
HCD,MM,O&C,DM,FM,P&I,B&C,DTT
DMA,MM,O&C,FM,DM,F&S,B&C,DTT
IADP,FM,P&I,FM,DM,C&P,B&C,DTT
VCSB,DM,F&S,DM,FM,P&I,B&C,DTT
BSSD,FM,B&C,DM,MM,O&C,F&S,DTT
IADP,MM,C&P,FM,DM,O&C,F&S,DTT
IAIDP,DM,S&P,MM,FM,O&C,F&S,DTT
VCSB,FM,C&P,DM,MM,B&C,F&S,DTT
DMA,FM,O&C,FM,MM,C&P,F&S,DTT
IADP,DM,P&I,FM,MM,C&P,F&S,DTT
PSD,DM,B&C,FM,MM,P&I,O&C,DTT
HCD,DM,P&I,DM,FM,C&P,O&C,DTT
CAP,MM,S&P,MM,FM,F&S,O&C,VTT
CE,MM,F&S,FM,DM,C&P,O&C,DTT
FILM,MM,S&P,DM,FM,F&S,O&C,DTT
VCSB,FM,C&P,DM,MM,B&C,O&C,DTT
CAP,MM,F&S,MM,FM,S&P,O&C,DTT
CE,MM,S&P,FM,DM,B&C,P&I,DTT
IAIDP,FM,F&S,MM,DM,C&P,P&I,DTT
DMA,FM,B&C,FM,MM,O&C,P&I,DTT
BSSD,DM,S&P,DM,FM,O&C,B&C,DTT
VCSB,DM,P&I,MM,FM,O&C,B&C,DTT
VCSB,FM,F&S,DM,MM,S&P,B&C,DTT
CE,FM,O&C,FM,DM,F&S,B&C,DTT
EMA,FM,P&I,MM,DM,S&P,B&C,DTT
IADP,FM,P&I,FM,DM,S&P,B&C,DTT
BSSD,DM,P&I,DM,FM,F&S,B&C,DTT
VCSB,MM,F&S,DM,FM,P&I,B&C,DTT
FILM,MM,F&S,DM,FM,C&P,B&C,DTT
IAIDP,DM,P&I,MM,FM,S&P,B&C,DTT
CE,FM,B&C,FM,DM,P&I,F&S,DTT
IADP,MM,P&I,FM,DM,C&P,F&S,DTT
IAIDP,MM,C&P,FM,DM,O&C,F&S,DTT
HCD,DM,P&I,DM,FM,S&P,F&S,DTT
HCD,FM,P&I,DM,MM,C&P,O&C,DTT
CAP,FM,B&C,MM,DM,P&I,O&C,DTT
DMA,DM,C&P,FM,MM,B&C,P&I,DTT
DMA,MM,C&P,FM,DM,O&C,P&I,DTT
IAIDP,MM,S&P,FM,DM,F&S,P&I,DTT
PSD,MM,S&P,FM,DM,O&C,P&I,DTT
CAP,FM,C&P,MM,FM,S&P,B&C,DTT
VCSB,FM,P&I,MM,DM,S&P,B&C,DTT
IAIDP,DM,F&S,MM,FM,P&I,B&C,DTT
BSSD,DM,P&I,DM,FM,S&P,B&C,DTT
IADP,FM,O&C,FM,DM,C&P,B&C,DTT
VCSB,FM,O&C,MM,DM,F&S,B&C,DTT
FILM,FM,S&P,DM,MM,B&C,F&S,DTT
PSD,FM,P&I,FM,DM,S&P,F&S,DTT
DMA,MM,P&I,FM,DM,C&P,F&S,DTT
CE,DM,C&P,FM,MM,O&C,F&S,DTT
HCD,FM,P&I,DM,MM,C&P,O&C,DTT
DMA,FM,P&I,FM,MM,S&P,O&C,DTT
PSD,DM,P&I,FM,MM,S&P,O&C,DTT
CW,MM,P&I,FM,DM,S&P,O&C,DTT
IADP,FM,P&I,FM,DM,F&S,O&C,DTT
IAIDP,DM,F&S,MM,FM,C&P,P&I,DTT
CE,MM,F&S,FM,DM,B&C,P&I,DTT
HCD,DM,O&C,DM,FM,F&S,P&I,DTT
IADP,DM,F&S,FM,MM,S&P,P&I,DTT
VCSB,DM,F&S,MM,FM,C&P,P&I,DTT
BSSD,DM,S&P,DM,FM,O&C,B&C,DTT
DMA,DM,P&I,FM,MM,O&C,B&C,DTT
CE,DM,F&S,FM,MM,P&I,B&C,DTT
IAIDP,DM,P&I,MM,FM,O&C,B&C,DTT
HCD,FM,S&P,DM,MM,F&S,B&C,DTT
