ID,trip.frequency,payment.options,payment.options_text,prepaid.transit_value,prepaid.transit_other,discount.eligible,discount.other,discount.senior,discount.veteran,discount.student,discount.other_recieve,Q3.4_4_TEXT,discount.ineligible,discount.idk,financial.checking,financial.savings,financial.prepaid,financial.credit,financial.checkcashing,financial.loan,financial.peer,financial.wire,financial.mobile,financial.other,financial.other_text,bank.interest,bank.hours,bank.location,bank.fees_high,bank.fees_unpredictable,bank.useless,bank.distrust,bank.minbalance,bank.privacy,bank.identification,bank.other,bank.other_text,prepaid.card_from,prepaid.card_other,preference.credit,preference.phone,preference.prepaid_debit,preference.debit,preference.prepaid_gov,challenge.phone,challenge.phone_other,challenge.prepaid_gov,challenge.prepaid_gov_other,gender,income,benefits,benefits.other,employment,employment.other,section1,section3,section4,section5,section6,complete,payment.other,payment.cash,payment.prepaid,payment.mobile,payment.card,phone.wifi,phone.money,phone.identity,phone.fees,phone.balance,prepaid.places,prepaid.money,prepaid.sharing,prepaid.identity,prepaid.fees,prepaid.balance,calfresh,wic,medical,healthyfam,calworks,housing,female,male,other,inc.less25,inc.25,inc.50plus,financial.count,unbanked,checking.only,savings.only,both.accounts,some.banking,prefer.none
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
4,Five days a week,Other (please write in),Aggie ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From a family member, friend, or other personal acquaintance",NA,Would not use,Would not use,Would not use,Already use,Would like to use,"Monthly fees,Knowing the balance",NA,"Places to get it,Monthly fees,Knowing the balance",NA,Female,"Less than $25,000","CalFresh or SNAP,WIC,Medi-Cal",NA,Education (K-12),NA,1,1,1,1,1,5,FALSE,No,No,No,No,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
6,Two days a week,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a bank branch or website,NA,Would like to use,Would like to use,Would like to use,Would not use,Would like to use,"Not having wifi access,Identity concerns",NA,"Places to get it,Ways to add money,Monthly fees,Knowing the balance",NA,Female,"$50,000 or more",NA,NA,Education (K-12),Swim Instructor (Private Business),1,1,1,1,0,4,FALSE,No,No,No,No,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,Yes,No,NA,No,No,Yes,1,No,No,No,Yes,Yes,0
7,Less than once a week,Prepaid card from transit agency,NA,Credit card at card kiosks or vending machines in transit stations/at stops,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Yes,No,No,No,No,No,No,NA,Somewhat interested,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,From an employer,NA,Already use,Would like to use,Already use,Would not use,Would not use,Identity concerns,NA,Identity concerns,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,No,No,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,1,Yes,No,No,No,NA,0
8,Less than once a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a government agency,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would like to use,NA,NA,NA,NA,Female,"$50,000 or more",NA,NA,Professional or technical,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,No,No,Yes,1,No,No,No,Yes,Yes,0
9,Five days a week,"Mobile phone (QR Code, digital wallet, mobile ticket, etc.)",NA,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From a family member, friend, or other personal acquaintance",NA,Would not use,Already use,Would not use,Would not use,Would not use,Not having wifi access,NA,Places to get it,NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,1,1,5,FALSE,No,No,Mobile phone,No,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
10,Three days a week,Prepaid card from transit agency,NA,Other (please write in),NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,Somewhat interested,No,No,Yes,Yes,Yes,No,Yes,Yes,No,NA,"Homeless, not involved in the economy ",From a government agency,NA,Would not use,Would not use,Would like to use,Would like to use,Would like to use,"Identity concerns,Other (please write in)",Privacy and monopoly ,"Places to get it,Ways to add money,Identity concerns,Knowing the balance",NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,No,No,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
11,Five days a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,Yes,No,No,NA,NA,Somewhat interested,No,No,No,No,No,No,Yes,No,NA,NA,NA,From a website or other that is not a bank,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would like to use,Knowing the balance,NA,"Sharing the card with family members,Monthly fees",NA,Male,"Less than $25,000",Medi-Cal,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
12,Six or seven days a week,Prepaid card from transit agency,NA,Cash at card kiosks or vending machines in transit stations/at stops,NA,"Yes, another discount (please write in)",DHA,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would like to use,Would like to use,Would like to use,Would like to use,NA,NA,Knowing the balance,NA,Male,NA,"CalFresh or SNAP,Medi-Cal,Housing Assistance Program",NA,Unemployed,NA,1,1,1,0,0,3,FALSE,No,Prepaid card from transit agency,No,No,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,No,Yes,NA,NA,NA,NA,1,No,Yes,No,No,Yes,0
13,Five days a week,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would like to use,Would not use,Would like to use,Would not use,"Not having wifi access,Ways to add money,Identity concerns,Knowing the balance",NA,"Sharing the card with family members,Identity concerns,Monthly fees",NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal,Housing Assistance Program",NA,University faculty or staff,NA,1,1,1,1,1,5,FALSE,No,No,No,No,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
