"ID","Type","Calories","Carbohydrates","Fiber","Fat","Cholesterol","Protein","Sodium"
1,"Meat",360,43.1,3.31,13.9,28,15.3,638
2,"Meat",171,18.4,0.24,5.4,35,12.4,772
3,"Meat",343,13.2,0.47,20.4,109,24.6,247
4,"Meat",524,61.7,2.91,17.2,81,29.8,568
5,"Meat",261,11.2,0.5,16.3,83,16.6,456
6,"Meat",994,56.9,2.47,67.3,99,45.4,2208
7,"Meat",369,16,0.42,26.2,63,17.5,561
8,"Meat",863,42.1,2.45,63.7,55,29.8,1891
9,"Meat",175,0.1,0.02,4.1,88,32.1,86
10,"Meat",309,35,0.08,10.8,23,17.5,726
11,"Meat",361,556.9,1.42,9.5,67,10.6,716
12,"Meat",530,76.7,11.13,10.6,66,35.1,606
13,"Meat",216,6.4,0.39,8.9,70,25.2,213
14,"Meat",497,51.6,3.76,17.4,144,34.5,1200
15,"Meat",1484,64.9,5.06,108.1,241,63.9,1507
16,"Meat",205,1.6,0.02,12.5,51,20.5,104
17,"Meat",340,25.2,3.76,13.1,73,31.3,491
18,"Meat",171,0,0,3.7,88,32.1,77
19,"Meat",565,38.3,1.64,29.1,141,37.9,922
20,"Meat",633,40.9,3.43,40.8,153,27.5,1731
21,"Meat",402,42.2,2.12,18.1,49,19.5,1055
22,"Meat",250,23,1.17,9.4,91,17.8,672
23,"Meat",398,16.2,0.62,26.2,95,23,321
24,"Vegetarian",305,43.3,1.34,10.5,22,12.3,1257
25,"Vegetarian",366,52.6,2.98,14.4,0,8.2,635
26,"Vegetarian",246,36.9,7.42,6.8,27,10,259
27,"Vegetarian",448,42.5,1.49,23.2,37,15.7,395
28,"Vegetarian",421,59.3,8.97,14.4,0,14.9,355
29,"Vegetarian",618,78.8,5.76,29.5,13,11.7,1053
30,"Vegetarian",627,51.9,4.74,42.7,3.9,10.8,310
31,"Vegetarian",309,51.4,5.64,8.1,0,9.5,672
32,"Vegetarian",319,24.2,2.58,17.1,39,18.6,1602
33,"Vegetarian",473,74.8,3.76,10.7,15,18.6,925
34,"Vegetarian",184,30.3,4.66,3.9,0,8.4,881
35,"Vegetarian",23,1.2,0.5,2,0,0.5,13
36,"Vegetarian",341,27.5,3.42,16.2,78,22.3,734
37,"Vegetarian",115,12.6,2.27,6.7,0,2.4,306
38,"Vegetarian",977,60.6,4.62,67.3,109,39.7,1398
39,"Vegetarian",382,24.5,1.36,24.6,153,15.5,740
40,"Vegetarian",270,38.4,5.84,10.5,0,7,288
41,"Vegetarian",333,39,3.97,14.3,31,13.2,622
