ID,age,hand,eye,leftPD,rightPD
1,58,left,right,37,37.5
2,59,right,right,35,36
3,52,left,left,32,30
4,47,right,right,34,31
5,21,right,left,27,29
6,61,right,left,37,35
7,33,left,left,35,35
8,35,right,left,32,30
9,18,right,left,31,29
10,36,left,right,35,35
11,20,right,left,30,34
12,19,right,right,31.5,33
13,21,right,right,32,31
14,19,right,left,29,28
15,21,right,right,33.5,36.5
16,20,right,right,31,32
17,19,right,right,30.5,33.5
18,21,right,left,32,31
19,25,right,left,37,34.5
20,38,right,left,28,26
21,24,right,right,31,34
22,43,right,right,33.2,34.5
23,21,right,right,29.5,30
24,18,right,right,35,35
25,42,right,right,33,31
26,34,right,right,34,34
27,19,right,right,29,30
28,18,right,left,32,34.5
29,19,right,right,30.5,32
30,39,right,left,32,34
31,31,right,right,32,34
32,44,right,right,30.5,31
33,28,right,right,32,33.5
34,30,right,right,30,30
35,29,right,right,31,33
36,44,right,right,33.5,35
37,45,right,right,30,30
38,32,right,right,29.5,30
39,33,right,right,33,33.5
40,19,left,right,30,31
