ID,Region,GenderNow,Age,Marital,Degree,Employed,Income,Polviews,Pres16,DeathPenalty,Courts,Attend,Postlife,Happy,Satfin,Energy
1,Northeast,Not applicable,43,Never married,Junior college,No,NA,Conservative,Trump,Favor,Not harsh enough,Monthly,Yes,Pretty happy,Not at all,Too little
2,Northeast,Woman,74,Separated,High school,No,Not applicable,NA,Trump,Oppose,Not harsh enough,Occasionally,Yes,Very happy,More or less,About right
3,Northeast,Man,42,Married,Bachelor,Yes,"[75000, 129999]",Slghtly conservative,Trump,Favor,Not harsh enough,Occasionally,Yes,Very happy,More or less,Too little
4,Northeast,Woman,63,Married,Bachelor,Yes,"[75000, 129999]",Moderate,NA,Oppose,Not harsh enough,Weekly,Yes,Very happy,Satisfied,Too little
5,Northeast,Man,71,Divorced,Graduate,No,Not applicable,Extrmly conservative,Trump,Oppose,Not harsh enough,Weekly,Yes,Pretty happy,Satisfied,Too little
6,Northeast,Not applicable,67,Widowed,Bachelor,No,Not applicable,Slightly liberal,Clinton,Favor,Too harsh,Monthly,Yes,Not too happy,More or less,About right
7,Northeast,Not applicable,59,Divorced,High school,Yes,"[0, 24999]",Moderate,Clinton,Favor,Too harsh,Weekly,Yes,Pretty happy,More or less,About right
8,Northeast,Man,43,Never married,High school,Yes,"[25000, 49999]",Slghtly conservative,Trump,Favor,Not harsh enough,Weekly,Yes,Pretty happy,More or less,Too little
9,Northeast,Woman,62,Widowed,Less than high school,Yes,"[0, 24999]",Moderate,NA,Favor,Too harsh,Never,Yes,Not too happy,Not at all,About right
10,Northeast,Man,55,Married,High school,Yes,"[75000, 129999]",NA,Trump,Favor,Not harsh enough,Occasionally,Yes,Pretty happy,Satisfied,Too little
11,Northeast,Not applicable,59,Divorced,Graduate,Yes,"[75000, 129999]",Conservative,Trump,Favor,Not harsh enough,Monthly,Yes,Pretty happy,More or less,About right
12,Northeast,Woman,34,Separated,High school,Yes,"[0, 24999]",Moderate,Clinton,Favor,Not harsh enough,Monthly,Yes,Pretty happy,Not at all,About right
13,Northeast,Not applicable,61,Divorced,High school,No,Not applicable,Moderate,NA,Favor,Not harsh enough,Never,Yes,Not too happy,Not at all,About right
14,Northeast,Man,44,Married,Bachelor,Yes,"[75000, 129999]",Slightly liberal,NA,Favor,Not harsh enough,Occasionally,Yes,Very happy,More or less,Too little
15,Northeast,Woman,41,Never married,High school,No,Not applicable,Liberal,NA,Favor,Not harsh enough,Never,Yes,Pretty happy,Not at all,About right
16,Northeast,Not applicable,75,Widowed,High school,Yes,"[0, 24999]",Slghtly conservative,NA,Oppose,Don't know,Weekly,Don't know,Pretty happy,More or less,Don't know
17,Northeast,Woman,55,Married,Bachelor,No,"[50000, 74999]",Liberal,Clinton,Oppose,Too harsh,Occasionally,Don't know,Not too happy,Not at all,Too little
18,Northeast,Not applicable,30,Married,Bachelor,No,Not applicable,Conservative,NA,Oppose,Don't know,Never,Yes,Very happy,More or less,Don't know
19,Northeast,Woman,40,Divorced,Graduate,Yes,"[50000, 74999]",Liberal,Clinton,Favor,Not harsh enough,Monthly,Don't know,Pretty happy,More or less,Too little
20,Northeast,Man,30,Never married,Graduate,Yes,NA,Moderate,Trump,Favor,Not harsh enough,Monthly,Yes,Not too happy,More or less,Too little
21,Northeast,Not applicable,34,Married,High school,Yes,"[25000, 49999]",Conservative,NA,Oppose,Don't know,Occasionally,Yes,Very happy,More or less,Too little
22,Northeast,Woman,29,Never married,Junior college,No,Not applicable,Conservative,Trump,NA,Not harsh enough,Weekly,Yes,Pretty happy,More or less,Don't know
23,Northeast,Woman,40,Married,Junior college,Yes,"[75000, 129999]",Moderate,Clinton,Favor,Don't know,Occasionally,Yes,Pretty happy,Not at all,About right
24,Northeast,Not applicable,37,Never married,High school,Yes,"[25000, 49999]",Extremely liberal,Clinton,Favor,Too harsh,Never,Yes,Very happy,More or less,Too little
25,Northeast,Not applicable,56,Married,Bachelor,Yes,"[0, 24999]",Conservative,Trump,Oppose,About right,Weekly,Yes,Very happy,More or less,Too little
26,Northeast,Not applicable,82,Widowed,Less than high school,No,Not applicable,Moderate,NA,Favor,About right,Occasionally,No,Very happy,Satisfied,Too little
27,Northeast,Not applicable,68,Divorced,High school,Yes,"[25000, 49999]",Moderate,Trump,Favor,Not harsh enough,Monthly,Yes,Pretty happy,More or less,Too little
28,Northeast,Not applicable,42,Never married,Less than high school,No,Not applicable,Moderate,Clinton,Favor,Not harsh enough,Weekly,Yes,Not too happy,More or less,About right
29,Northeast,Woman,40,Divorced,High school,No,Not applicable,Extrmly conservative,NA,Favor,Not harsh enough,Occasionally,Yes,Not too happy,More or less,Too little
30,Northeast,Man,20,Never married,High school,Yes,"[0, 24999]",Liberal,NA,Oppose,Not harsh enough,Occasionally,Yes,Pretty happy,Satisfied,About right
31,Northeast,Not applicable,74,Married,High school,No,Not applicable,Extrmly conservative,Trump,Favor,Not harsh enough,Occasionally,Yes,Pretty happy,Not at all,Too much
32,Northeast,Not applicable,89,Married,Less than high school,No,Not applicable,Moderate,NA,Oppose,Not harsh enough,Weekly,Yes,Not too happy,Not at all,Too little
33,Northeast,Not applicable,60,Married,Bachelor,No,Not applicable,Moderate,Clinton,Oppose,Not harsh enough,Occasionally,Yes,Pretty happy,More or less,About right
34,Northeast,Not applicable,56,Divorced,Bachelor,Yes,"[75000, 129999]",Extremely liberal,Clinton,Oppose,Too harsh,Never,No,Pretty happy,Satisfied,Too little
35,Northeast,Woman,55,Divorced,Less than high school,Yes,NA,Conservative,Clinton,NA,Don't know,Weekly,Yes,Very happy,More or less,About right
36,Northeast,Not applicable,65,Married,Graduate,Yes,"[75000, 129999]",Extrmly conservative,Trump,Favor,About right,Occasionally,No,Very happy,Satisfied,About right
37,Northeast,Not applicable,71,Widowed,Graduate,Yes,NA,Moderate,Clinton,Oppose,Too harsh,Weekly,No,Pretty happy,More or less,Too little
38,Northeast,Man,34,Never married,Graduate,Yes,"[25000, 49999]",Extremely liberal,Clinton,Oppose,Too harsh,Never,No,Not too happy,Not at all,Too little
39,Northeast,Man,45,Married,Graduate,Yes,"[25000, 49999]",Slghtly conservative,NA,Oppose,Too harsh,Weekly,Yes,Pretty happy,More or less,Too little
40,Northeast,Not applicable,50,NA,High school,NA,NA,Moderate,NA,Favor,Too harsh,NA,Don't know,Pretty happy,NA,Too little
41,Northeast,Woman,65,Divorced,High school,Yes,"[0, 24999]",Slightly liberal,Clinton,Oppose,Don't know,Occasionally,Yes,Pretty happy,Not at all,Too little
42,Northeast,Not applicable,52,Never married,High school,Yes,"[25000, 49999]",Moderate,NA,Favor,About right,Never,Yes,Pretty happy,More or less,About right
43,Northeast,Woman,62,Widowed,High school,No,Not applicable,Moderate,Clinton,Favor,Not harsh enough,Occasionally,Yes,Very happy,Not at all,Too little
44,Northeast,Man,60,Married,Graduate,No,NA,Moderate,Clinton,Oppose,Don't know,Occasionally,Yes,Pretty happy,Satisfied,Too little
45,Northeast,Woman,62,Divorced,Bachelor,No,"[50000, 74999]",Liberal,Clinton,Oppose,Not harsh enough,Occasionally,Yes,Pretty happy,Not at all,Too little
